"","HostName","ParName","HostParPair"
"1882","Damaliscus lunatus","Orthobunyavirus Akabane virus","Damaliscus lunatus, Orthobunyavirus Akabane virus"
"1883","Damaliscus lunatus","Pestivirus Bovine viral diarrhea virus 1","Damaliscus lunatus, Pestivirus Bovine viral diarrhea virus 1"
"1884","Damaliscus lunatus","Simplexvirus Bovine alphaherpesvirus 2","Damaliscus lunatus, Simplexvirus Bovine alphaherpesvirus 2"
"1885","Damaliscus lunatus","Teladorsagia circumcincta","Damaliscus lunatus, Teladorsagia circumcincta"
"1886","Damaliscus lunatus","Trichostrongylus colubriformis","Damaliscus lunatus, Trichostrongylus colubriformis"
"1887","Damaliscus lunatus","Trichostrongylus falculatus","Damaliscus lunatus, Trichostrongylus falculatus"
"1888","Damaliscus lunatus","Trichostrongylus instabilis","Damaliscus lunatus, Trichostrongylus instabilis"
"1889","Damaliscus lunatus","Trichostrongylus thomasi","Damaliscus lunatus, Trichostrongylus thomasi"
"1890","Damaliscus lunatus","Varicellovirus Bovine alphaherpesvirus 1","Damaliscus lunatus, Varicellovirus Bovine alphaherpesvirus 1"
"1891","Damaliscus pygargus","Amblyomma marmoreum","Damaliscus pygargus, Amblyomma marmoreum"
"1892","Damaliscus pygargus","Bronchonema magna","Damaliscus pygargus, Bronchonema magna"
"1893","Damaliscus pygargus","Cooperia rotundispiculum","Damaliscus pygargus, Cooperia rotundispiculum"
"1894","Damaliscus pygargus","Haemaphysalis aciculifer","Damaliscus pygargus, Haemaphysalis aciculifer"
"1895","Damaliscus pygargus","Haemonchus contortus","Damaliscus pygargus, Haemonchus contortus"
"1896","Damaliscus pygargus","Hyalomma truncatum","Damaliscus pygargus, Hyalomma truncatum"
"1897","Damaliscus pygargus","Ixodes pilosus","Damaliscus pygargus, Ixodes pilosus"
"1898","Damaliscus pygargus","Longistrongylus curvispiculum","Damaliscus pygargus, Longistrongylus curvispiculum"
"1899","Damaliscus pygargus","Longistrongylus namaquensis","Damaliscus pygargus, Longistrongylus namaquensis"
"1900","Damaliscus pygargus","Moniezia expansa","Damaliscus pygargus, Moniezia expansa"
"1901","Damaliscus pygargus","Nairovirus Crimean-Congo hemorrhagic fever nairovirus","Damaliscus pygargus, Nairovirus Crimean-Congo hemorrhagic fever nairovirus"
"1902","Damaliscus pygargus","Nematodirus spathiger","Damaliscus pygargus, Nematodirus spathiger"
"1903","Damaliscus pygargus","Ostertagia ostertagi","Damaliscus pygargus, Ostertagia ostertagi"
"1904","Damaliscus pygargus","Protostrongylus capensis","Damaliscus pygargus, Protostrongylus capensis"
"1905","Damaliscus pygargus","Rhipicephalus capensis","Damaliscus pygargus, Rhipicephalus capensis"
"1906","Damaliscus pygargus","Rhipicephalus evertsi","Damaliscus pygargus, Rhipicephalus evertsi"
"1907","Damaliscus pygargus","Rhipicephalus gertrudae","Damaliscus pygargus, Rhipicephalus gertrudae"
"1908","Damaliscus pygargus","Rhipicephalus glabroscutatum","Damaliscus pygargus, Rhipicephalus glabroscutatum"
"1909","Damaliscus pygargus","Rhipicephalus nitens","Damaliscus pygargus, Rhipicephalus nitens"
"1910","Damaliscus pygargus","Teladorsagia circumcincta","Damaliscus pygargus, Teladorsagia circumcincta"
"1911","Damaliscus pygargus","Trichostrongylus axei","Damaliscus pygargus, Trichostrongylus axei"
"1912","Damaliscus pygargus","Trichostrongylus falculatus","Damaliscus pygargus, Trichostrongylus falculatus"
"1913","Damaliscus pygargus","Trichostrongylus pietersei","Damaliscus pygargus, Trichostrongylus pietersei"
"1914","Damaliscus pygargus","Trichostrongylus rugatus","Damaliscus pygargus, Trichostrongylus rugatus"
"1915","Damaliscus pygargus","Trichostrongylus thomasi","Damaliscus pygargus, Trichostrongylus thomasi"
"1916","Daubentonia madagascariensis","Ascaris petiti","Daubentonia madagascariensis, Ascaris petiti"
"1917","Daubentonia madagascariensis","Daubentonialges brygooi","Daubentonia madagascariensis, Daubentonialges brygooi"
"1918","Daubentonia madagascariensis","Lemuricola daubentoniae","Daubentonia madagascariensis, Lemuricola daubentoniae"
"1919","Daubentonia madagascariensis","Mastophorus muris","Daubentonia madagascariensis, Mastophorus muris"
"1920","Daubentonia madagascariensis","Trichuris lemuris","Daubentonia madagascariensis, Trichuris lemuris"
"1921","Diceros bicornis","Amblyomma hebraeum","Diceros bicornis, Amblyomma hebraeum"
"1922","Diceros bicornis","Amblyomma rhinocerotis","Diceros bicornis, Amblyomma rhinocerotis"
"1923","Diceros bicornis","Amblyomma sparsum","Diceros bicornis, Amblyomma sparsum"
"1924","Diceros bicornis","Amblyomma variegatum","Diceros bicornis, Amblyomma variegatum"
"1925","Diceros bicornis","Anoplocephala gigantea","Diceros bicornis, Anoplocephala gigantea"
"1926","Diceros bicornis","Babesia bicornis","Diceros bicornis, Babesia bicornis"
"1927","Diceros bicornis","Bacillus anthracis","Diceros bicornis, Bacillus anthracis"
"1928","Diceros bicornis","Cycloposthium bipalmatum","Diceros bicornis, Cycloposthium bipalmatum"
"1929","Diceros bicornis","Cycloposthium corrugatum","Diceros bicornis, Cycloposthium corrugatum"
"1930","Diceros bicornis","Cycloposthium dentiferum","Diceros bicornis, Cycloposthium dentiferum"
"1931","Diceros bicornis","Cycloposthium edentatum","Diceros bicornis, Cycloposthium edentatum"
"1932","Diceros bicornis","Cycloposthium scutigerum","Diceros bicornis, Cycloposthium scutigerum"
"1933","Diceros bicornis","Dermacentor rhinocerinus","Diceros bicornis, Dermacentor rhinocerinus"
"1934","Diceros bicornis","Diceronema versterae","Diceros bicornis, Diceronema versterae"
"1935","Diceros bicornis","Diplodinium anacanthum","Diceros bicornis, Diplodinium anacanthum"
"1936","Diceros bicornis","Diplodinium dentatum","Diceros bicornis, Diplodinium dentatum"
"1937","Diceros bicornis","Diploplastron affine","Diceros bicornis, Diploplastron affine"
"1938","Diceros bicornis","Draschia megastoma","Diceros bicornis, Draschia megastoma"
"1939","Diceros bicornis","Elyplastron bubali","Diceros bicornis, Elyplastron bubali"
"1940","Diceros bicornis","Entodinium bicornutum","Diceros bicornis, Entodinium bicornutum"
"1941","Diceros bicornis","Entodinium bursa","Diceros bicornis, Entodinium bursa"
"1942","Diceros bicornis","Entodinium caudatum","Diceros bicornis, Entodinium caudatum"
"1943","Diceros bicornis","Entodinium dubardi","Diceros bicornis, Entodinium dubardi"
"1944","Diceros bicornis","Entodinium furca","Diceros bicornis, Entodinium furca"
"1945","Diceros bicornis","Entodinium minimum","Diceros bicornis, Entodinium minimum"
"1946","Diceros bicornis","Entodinium rectangulatum","Diceros bicornis, Entodinium rectangulatum"
"1947","Diceros bicornis","Epidinium bulbiferum","Diceros bicornis, Epidinium bulbiferum"
"1948","Diceros bicornis","Epidinium caudatum","Diceros bicornis, Epidinium caudatum"
"1949","Diceros bicornis","Epidinium gigas","Diceros bicornis, Epidinium gigas"
"1950","Diceros bicornis","Eudiplodinium maggi","Diceros bicornis, Eudiplodinium maggi"
"1951","Diceros bicornis","Gyrostigma pavesii","Diceros bicornis, Gyrostigma pavesii"
"1952","Diceros bicornis","Haemaphysalis silacea","Diceros bicornis, Haemaphysalis silacea"
"1953","Diceros bicornis","Haematobosca latifrons","Diceros bicornis, Haematobosca latifrons"
"1954","Diceros bicornis","Hyalomma marginatum","Diceros bicornis, Hyalomma marginatum"
"1955","Diceros bicornis","Hyalomma truncatum","Diceros bicornis, Hyalomma truncatum"
"1956","Diceros bicornis","Kiluluma goodeyi","Diceros bicornis, Kiluluma goodeyi"
"1957","Diceros bicornis","Kiluluma magna","Diceros bicornis, Kiluluma magna"
"1958","Diceros bicornis","Kiluluma rhinocerotis","Diceros bicornis, Kiluluma rhinocerotis"
"1959","Diceros bicornis","Leptospira interrogans","Diceros bicornis, Leptospira interrogans"
"1960","Diceros bicornis","Metadinium medium","Diceros bicornis, Metadinium medium"
"1961","Diceros bicornis","Nairovirus Crimean-Congo hemorrhagic fever nairovirus","Diceros bicornis, Nairovirus Crimean-Congo hemorrhagic fever nairovirus"
"1962","Diceros bicornis","Orbivirus African horse sickness virus","Diceros bicornis, Orbivirus African horse sickness virus"
"1963","Diceros bicornis","Orbivirus Bluetongue virus","Diceros bicornis, Orbivirus Bluetongue virus"
"1964","Diceros bicornis","Orbivirus Epizootic hemorrhagic disease virus","Diceros bicornis, Orbivirus Epizootic hemorrhagic disease virus"
"1965","Diceros bicornis","Orthobunyavirus Akabane virus","Diceros bicornis, Orthobunyavirus Akabane virus"
"1966","Diceros bicornis","Ostracodinium gracile","Diceros bicornis, Ostracodinium gracile"
"1967","Diceros bicornis","Ostracodinium mammosum","Diceros bicornis, Ostracodinium mammosum"
"1968","Diceros bicornis","Ostracodinium trivesiculatum","Diceros bicornis, Ostracodinium trivesiculatum"
"1969","Diceros bicornis","Oxyuris karamoja","Diceros bicornis, Oxyuris karamoja"
"1970","Diceros bicornis","Parabronema roundi","Diceros bicornis, Parabronema roundi"
"1971","Diceros bicornis","Pestivirus Bovine viral diarrhea virus 1","Diceros bicornis, Pestivirus Bovine viral diarrhea virus 1"
"1972","Diceros bicornis","Phlebovirus Rift Valley phlebovirus","Diceros bicornis, Phlebovirus Rift Valley phlebovirus"
"1973","Diceros bicornis","Polyplastron multivesiculatum","Diceros bicornis, Polyplastron multivesiculatum"
"1974","Diceros bicornis","Probstmayria vivipara","Diceros bicornis, Probstmayria vivipara"
"1975","Diceros bicornis","Respirovirus Human parainfluenza virus 3","Diceros bicornis, Respirovirus Human parainfluenza virus 3"
"1976","Diceros bicornis","Rhinomusca dutoiti","Diceros bicornis, Rhinomusca dutoiti"
"1977","Diceros bicornis","Rhipicephalus compositus","Diceros bicornis, Rhipicephalus compositus"
"1978","Diceros bicornis","Rhipicephalus longiceps","Diceros bicornis, Rhipicephalus longiceps"
"1979","Diceros bicornis","Rhipicephalus maculatus","Diceros bicornis, Rhipicephalus maculatus"
"1980","Diceros bicornis","Rhipicephalus muehlensi","Diceros bicornis, Rhipicephalus muehlensi"
"1981","Diceros bicornis","Spirodinium equi","Diceros bicornis, Spirodinium equi"
"1982","Diceros bicornis","Stomoxys boueti","Diceros bicornis, Stomoxys boueti"
"1983","Diceros bicornis","Tetratoxum parvum","Diceros bicornis, Tetratoxum parvum"
"1984","Diceros bicornis","Tetratoxum unifasciculatum","Diceros bicornis, Tetratoxum unifasciculatum"
"1985","Diceros bicornis","Theileria bicornis","Diceros bicornis, Theileria bicornis"
"1986","Diceros bicornis","Toxoplasma gondii","Diceros bicornis, Toxoplasma gondii"
"1987","Diceros bicornis","Triadinium galea","Diceros bicornis, Triadinium galea"
"1988","Diceros bicornis","Trypanosoma congolense","Diceros bicornis, Trypanosoma congolense"
"1989","Diceros bicornis","Varicellovirus Bovine alphaherpesvirus 1","Diceros bicornis, Varicellovirus Bovine alphaherpesvirus 1"
"1990","Diceros bicornis","Varicellovirus Equid alphaherpesvirus 1","Diceros bicornis, Varicellovirus Equid alphaherpesvirus 1"
"1991","Eira barbara","Amblyomma ovale","Eira barbara, Amblyomma ovale"
"1992","Eira barbara","Hechtiella Lopesi","Eira barbara, Hechtiella Lopesi"
"1993","Enhydra lutris","Arcanobacterium phocae","Enhydra lutris, Arcanobacterium phocae"
"1994","Enhydra lutris","Bordetella bronchiseptica","Enhydra lutris, Bordetella bronchiseptica"
"1995","Enhydra lutris","Cardiovirus Cardiovirus A","Enhydra lutris, Cardiovirus Cardiovirus A"
"1996","Enhydra lutris","Clostridioides difficile","Enhydra lutris, Clostridioides difficile"
"1997","Enhydra lutris","Clostridium perfringens","Enhydra lutris, Clostridium perfringens"
"1998","Enhydra lutris","Coccidioides immitis","Enhydra lutris, Coccidioides immitis"
"1999","Enhydra lutris","Corynosoma enhydri","Enhydra lutris, Corynosoma enhydri"
"2000","Enhydra lutris","Diplogonoporus tetrapterus","Enhydra lutris, Diplogonoporus tetrapterus"
"2001","Enhydra lutris","Leptospira interrogans","Enhydra lutris, Leptospira interrogans"
"2002","Enhydra lutris","Microphallus nicolli","Enhydra lutris, Microphallus nicolli"
"2003","Enhydra lutris","Microphallus pirum","Enhydra lutris, Microphallus pirum"
"2004","Enhydra lutris","Neospora caninum","Enhydra lutris, Neospora caninum"
"2005","Enhydra lutris","Orthosplanchnus fraterculus","Enhydra lutris, Orthosplanchnus fraterculus"
"2006","Enhydra lutris","Plenosoma minimum","Enhydra lutris, Plenosoma minimum"
"2007","Enhydra lutris","Plesiomonas shigelloides","Enhydra lutris, Plesiomonas shigelloides"
"2008","Enhydra lutris","Polymorphus major","Enhydra lutris, Polymorphus major"
"2009","Enhydra lutris","Profilicollis altmani","Enhydra lutris, Profilicollis altmani"
"2010","Enhydra lutris","Pseudoterranova decipiens","Enhydra lutris, Pseudoterranova decipiens"
"2011","Enhydra lutris","Sarcocystis neurona","Enhydra lutris, Sarcocystis neurona"
"2012","Enhydra lutris","Streptococcus dysgalactiae","Enhydra lutris, Streptococcus dysgalactiae"
"2013","Enhydra lutris","Streptococcus phocae","Enhydra lutris, Streptococcus phocae"
"2014","Enhydra lutris","Toxoplasma gondii","Enhydra lutris, Toxoplasma gondii"
"2015","Enhydra lutris","Vibrio alginolyticus","Enhydra lutris, Vibrio alginolyticus"
"2016","Enhydra lutris","Vibrio cholerae","Enhydra lutris, Vibrio cholerae"
"2017","Enhydra lutris","Vibrio fluvialis","Enhydra lutris, Vibrio fluvialis"
"2018","Enhydra lutris","Vibrio parahaemolyticus","Enhydra lutris, Vibrio parahaemolyticus"
"2019","Equus asinus","Coronocyclus coronatus","Equus asinus, Coronocyclus coronatus"
"2020","Equus asinus","Coronocyclus labiatus","Equus asinus, Coronocyclus labiatus"
"2021","Equus asinus","Coronocyclus labratus","Equus asinus, Coronocyclus labratus"
"2022","Equus asinus","Cyathostomum alveatum","Equus asinus, Cyathostomum alveatum"
"2023","Equus asinus","Cyathostomum catinatum","Equus asinus, Cyathostomum catinatum"
"2024","Equus asinus","Cyathostomum montgomeryi","Equus asinus, Cyathostomum montgomeryi"
"2025","Equus asinus","Cyathostomum pateratum","Equus asinus, Cyathostomum pateratum"
"2026","Equus asinus","Cyathostomum tetracanthum","Equus asinus, Cyathostomum tetracanthum"
"2027","Equus asinus","Cylicocyclus asini","Equus asinus, Cylicocyclus asini"
"2028","Equus asinus","Cylicocyclus auriculatus","Equus asinus, Cylicocyclus auriculatus"
"2029","Equus asinus","Cylicocyclus elongatus","Equus asinus, Cylicocyclus elongatus"
"2030","Equus asinus","Cylicocyclus insigne","Equus asinus, Cylicocyclus insigne"
"2031","Equus asinus","Cylicocyclus leptostomum","Equus asinus, Cylicocyclus leptostomum"
"2032","Equus asinus","Cylicocyclus nassatus","Equus asinus, Cylicocyclus nassatus"
"2033","Equus asinus","Cylicocyclus radiatus","Equus asinus, Cylicocyclus radiatus"
"2034","Equus asinus","Cylicostephanus asymetricus","Equus asinus, Cylicostephanus asymetricus"
"2035","Equus asinus","Cylicostephanus calicatus","Equus asinus, Cylicostephanus calicatus"
"2036","Equus asinus","Cylicostephanus goldi","Equus asinus, Cylicostephanus goldi"
"2037","Equus asinus","Cylicostephanus longibursatus","Equus asinus, Cylicostephanus longibursatus"
"2038","Equus asinus","Cylicostephanus minutus","Equus asinus, Cylicostephanus minutus"
"2039","Equus asinus","Draschia megastoma","Equus asinus, Draschia megastoma"
"2040","Equus asinus","Gastrodiscus aegyptiacus","Equus asinus, Gastrodiscus aegyptiacus"
"2041","Equus asinus","Habronema majus","Equus asinus, Habronema majus"
"2042","Equus asinus","Habronema muscae","Equus asinus, Habronema muscae"
"2043","Equus asinus","Oxyuris equi","Equus asinus, Oxyuris equi"
"2044","Equus asinus","Parapoteriostomum schuermanni","Equus asinus, Parapoteriostomum schuermanni"
"2045","Equus asinus","Probstmayria vivipara","Equus asinus, Probstmayria vivipara"
"2046","Equus asinus","Setaria equina","Equus asinus, Setaria equina"
"2047","Equus asinus","Strongylus edentatus","Equus asinus, Strongylus edentatus"
"2048","Equus asinus","Strongylus equinus","Equus asinus, Strongylus equinus"
"2049","Equus asinus","Strongylus vulgaris","Equus asinus, Strongylus vulgaris"
"2050","Equus asinus","Triodontophorus burchelli","Equus asinus, Triodontophorus burchelli"
"2051","Equus asinus","Triodontophorus hartmannae","Equus asinus, Triodontophorus hartmannae"
"2052","Equus asinus","Triodontophorus serratus","Equus asinus, Triodontophorus serratus"
"2053","Equus burchellii","Amblyomma hebraeum","Equus burchellii, Amblyomma hebraeum"
"2054","Equus burchellii","Anoplocephala magna","Equus burchellii, Anoplocephala magna"
"2055","Equus burchellii","Anoplocephala perfoliata","Equus burchellii, Anoplocephala perfoliata"
"2056","Equus burchellii","Arterivirus Equine arteritis virus","Equus burchellii, Arterivirus Equine arteritis virus"
"2057","Equus burchellii","Bacillus anthracis","Equus burchellii, Bacillus anthracis"
"2058","Equus burchellii","Crossocephalus viviparus","Equus burchellii, Crossocephalus viviparus"
"2059","Equus burchellii","Cyathostomum alveatum","Equus burchellii, Cyathostomum alveatum"
"2060","Equus burchellii","Cyathostomum montgomeryi","Equus burchellii, Cyathostomum montgomeryi"
"2061","Equus burchellii","Cyathostomum tetracanthum","Equus burchellii, Cyathostomum tetracanthum"
"2062","Equus burchellii","Cycloposthium scutigerum","Equus burchellii, Cycloposthium scutigerum"
"2063","Equus burchellii","Cylicocyclus adersi","Equus burchellii, Cylicocyclus adersi"
"2064","Equus burchellii","Cylicocyclus auriculatus","Equus burchellii, Cylicocyclus auriculatus"
"2065","Equus burchellii","Cylicocyclus insigne","Equus burchellii, Cylicocyclus insigne"
"2066","Equus burchellii","Cylicocyclus triramosus","Equus burchellii, Cylicocyclus triramosus"
"2067","Equus burchellii","Cylicodontophorus reineckei","Equus burchellii, Cylicodontophorus reineckei"
"2068","Equus burchellii","Cylicostephanus bidentatus","Equus burchellii, Cylicostephanus bidentatus"
"2069","Equus burchellii","Cylicostephanus calicatus","Equus burchellii, Cylicostephanus calicatus"
"2070","Equus burchellii","Cylicostephanus minutus","Equus burchellii, Cylicostephanus minutus"
"2071","Equus burchellii","Cylindropharynx intermedia","Equus burchellii, Cylindropharynx intermedia"
"2072","Equus burchellii","Draschia megastoma","Equus burchellii, Draschia megastoma"
"2073","Equus burchellii","Gasterophilus haemorrhoidalis","Equus burchellii, Gasterophilus haemorrhoidalis"
"2074","Equus burchellii","Gasterophilus meridionalis","Equus burchellii, Gasterophilus meridionalis"
"2075","Equus burchellii","Gasterophilus nasalis","Equus burchellii, Gasterophilus nasalis"
"2076","Equus burchellii","Gasterophilus pecorum","Equus burchellii, Gasterophilus pecorum"
"2077","Equus burchellii","Gasterophilus ternicinctus","Equus burchellii, Gasterophilus ternicinctus"
"2078","Equus burchellii","Gastrodiscus aegyptiacus","Equus burchellii, Gastrodiscus aegyptiacus"
"2079","Equus burchellii","Habronema majus","Equus burchellii, Habronema majus"
"2080","Equus burchellii","Habronema malani","Equus burchellii, Habronema malani"
"2081","Equus burchellii","Habronema tomasi","Equus burchellii, Habronema tomasi"
"2082","Equus burchellii","Habronema zebrae","Equus burchellii, Habronema zebrae"
"2083","Equus burchellii","Hyalomma marginatum","Equus burchellii, Hyalomma marginatum"
"2084","Equus burchellii","Hyalomma truncatum","Equus burchellii, Hyalomma truncatum"
"2085","Equus burchellii","Leptospira interrogans","Equus burchellii, Leptospira interrogans"
"2086","Equus burchellii","Nairovirus Crimean-Congo hemorrhagic fever nairovirus","Equus burchellii, Nairovirus Crimean-Congo hemorrhagic fever nairovirus"
"2087","Equus burchellii","Oesophagodontus robustus","Equus burchellii, Oesophagodontus robustus"
"2088","Equus burchellii","Orbivirus African horse sickness virus","Equus burchellii, Orbivirus African horse sickness virus"
"2089","Equus burchellii","Oxyuris equi","Equus burchellii, Oxyuris equi"
"2090","Equus burchellii","Parapoteriostomum schuermanni","Equus burchellii, Parapoteriostomum schuermanni"
"2091","Equus burchellii","Parascaris equorum","Equus burchellii, Parascaris equorum"
"2092","Equus burchellii","Poteriostomum ratzii","Equus burchellii, Poteriostomum ratzii"
"2093","Equus burchellii","Probstmayria vivipara","Equus burchellii, Probstmayria vivipara"
"2094","Equus burchellii","Rhipicephalus appendiculatus","Equus burchellii, Rhipicephalus appendiculatus"
"2095","Equus burchellii","Rhipicephalus compositus","Equus burchellii, Rhipicephalus compositus"
"2096","Equus burchellii","Rhipicephalus decoloratus","Equus burchellii, Rhipicephalus decoloratus"
"2097","Equus burchellii","Rhipicephalus evertsi","Equus burchellii, Rhipicephalus evertsi"
"2098","Equus burchellii","Rhipicephalus pulchellus","Equus burchellii, Rhipicephalus pulchellus"
"2099","Equus burchellii","Setaria equina","Equus burchellii, Setaria equina"
"2100","Equus burchellii","Skrjabinodentus longiconus","Equus burchellii, Skrjabinodentus longiconus"
"2101","Equus burchellii","Staphylococcus aureus","Equus burchellii, Staphylococcus aureus"
"2102","Equus burchellii","Streptococcus equi","Equus burchellii, Streptococcus equi"
"2103","Equus burchellii","Strongyloides westeri","Equus burchellii, Strongyloides westeri"
"2104","Equus burchellii","Strongylus asini","Equus burchellii, Strongylus asini"
"2105","Equus burchellii","Strongylus edentatus","Equus burchellii, Strongylus edentatus"
"2106","Equus burchellii","Strongylus vulgaris","Equus burchellii, Strongylus vulgaris"
"2107","Equus burchellii","Trichostrongylus thomasi","Equus burchellii, Trichostrongylus thomasi"
"2108","Equus burchellii","Triodontophorus burchelli","Equus burchellii, Triodontophorus burchelli"
"2109","Equus burchellii","Triodontophorus hartmannae","Equus burchellii, Triodontophorus hartmannae"
"2110","Equus burchellii","Triodontophorus minor","Equus burchellii, Triodontophorus minor"
"2111","Equus burchellii","Triodontophorus serratus","Equus burchellii, Triodontophorus serratus"
"2112","Equus burchellii","Varicellovirus Equid alphaherpesvirus 1","Equus burchellii, Varicellovirus Equid alphaherpesvirus 1"
"2113","Equus burchellii","Varicellovirus Equid alphaherpesvirus 4","Equus burchellii, Varicellovirus Equid alphaherpesvirus 4"
"2114","Equus burchellii","Varicellovirus Equid alphaherpesvirus 9","Equus burchellii, Varicellovirus Equid alphaherpesvirus 9"
"2115","Equus caballus","Anoplocephala perfoliata","Equus caballus, Anoplocephala perfoliata"
"2116","Equus caballus","Coronocyclus coronatus","Equus caballus, Coronocyclus coronatus"
"2117","Equus caballus","Coronocyclus labiatus","Equus caballus, Coronocyclus labiatus"
"2118","Equus caballus","Coronocyclus labratus","Equus caballus, Coronocyclus labratus"
"2119","Equus caballus","Craterostomum acuticaudatum","Equus caballus, Craterostomum acuticaudatum"
"2120","Equus caballus","Cyathostomum catinatum","Equus caballus, Cyathostomum catinatum"
"2121","Equus caballus","Cyathostomum pateratum","Equus caballus, Cyathostomum pateratum"
"2122","Equus caballus","Cycloposthium scutigerum","Equus caballus, Cycloposthium scutigerum"
"2123","Equus caballus","Cylicocyclus elongatus","Equus caballus, Cylicocyclus elongatus"
"2124","Equus caballus","Cylicocyclus insigne","Equus caballus, Cylicocyclus insigne"
"2125","Equus caballus","Cylicocyclus leptostomum","Equus caballus, Cylicocyclus leptostomum"
"2126","Equus caballus","Cylicocyclus nassatus","Equus caballus, Cylicocyclus nassatus"
"2127","Equus caballus","Cylicocyclus radiatus","Equus caballus, Cylicocyclus radiatus"
"2128","Equus caballus","Cylicostephanus bidentatus","Equus caballus, Cylicostephanus bidentatus"
"2129","Equus caballus","Cylicostephanus calicatus","Equus caballus, Cylicostephanus calicatus"
"2130","Equus caballus","Cylicostephanus goldi","Equus caballus, Cylicostephanus goldi"
"2131","Equus caballus","Cylicostephanus longibursatus","Equus caballus, Cylicostephanus longibursatus"
"2132","Equus caballus","Cylicostephanus minutus","Equus caballus, Cylicostephanus minutus"
"2133","Equus caballus","Draschia megastoma","Equus caballus, Draschia megastoma"
"2134","Equus caballus","Habronema majus","Equus caballus, Habronema majus"
"2135","Equus caballus","Habronema muscae","Equus caballus, Habronema muscae"
"2136","Equus caballus","Oxyuris equi","Equus caballus, Oxyuris equi"
"2137","Equus caballus","Parapoteriostomum euproctus","Equus caballus, Parapoteriostomum euproctus"
"2138","Equus caballus","Parapoteriostomum mettami","Equus caballus, Parapoteriostomum mettami"
"2139","Equus caballus","Petrovinema poculatum","Equus caballus, Petrovinema poculatum"
"2140","Equus caballus","Poteriostomum imparidentatum","Equus caballus, Poteriostomum imparidentatum"
"2141","Equus caballus","Poteriostomum ratzii","Equus caballus, Poteriostomum ratzii"
"2142","Equus caballus","Probstmayria vivipara","Equus caballus, Probstmayria vivipara"
"2143","Equus caballus","Strongylus edentatus","Equus caballus, Strongylus edentatus"
"2144","Equus caballus","Strongylus equinus","Equus caballus, Strongylus equinus"
"2145","Equus caballus","Strongylus vulgaris","Equus caballus, Strongylus vulgaris"
"2146","Equus caballus","Triodontophorus brevicaudata","Equus caballus, Triodontophorus brevicaudata"
"2147","Equus caballus","Triodontophorus nipponicus","Equus caballus, Triodontophorus nipponicus"
"2148","Equus caballus","Triodontophorus serratus","Equus caballus, Triodontophorus serratus"
"2149","Equus caballus","Triodontophorus tenuicollis","Equus caballus, Triodontophorus tenuicollis"
"2150","Equus grevyi","Bacillus anthracis","Equus grevyi, Bacillus anthracis"
"2151","Equus grevyi","Balantidium coli","Equus grevyi, Balantidium coli"
"2152","Equus grevyi","Cystoisospora belli","Equus grevyi, Cystoisospora belli"
"2153","Equus grevyi","Entamoeba coli","Equus grevyi, Entamoeba coli"
"2154","Equus grevyi","Entamoeba histolytica","Equus grevyi, Entamoeba histolytica"
"2155","Equus grevyi","Enterococcus faecalis","Equus grevyi, Enterococcus faecalis"
"2156","Equus grevyi","Escherichia coli","Equus grevyi, Escherichia coli"
"2157","Equus grevyi","Haemonchus contortus","Equus grevyi, Haemonchus contortus"
"2158","Equus grevyi","Leptospira interrogans","Equus grevyi, Leptospira interrogans"
"2159","Equus zebra","Actinobacillus equuli","Equus zebra, Actinobacillus equuli"
"2160","Equus zebra","Amblyomma marmoreum","Equus zebra, Amblyomma marmoreum"
"2161","Equus zebra","Anoplocephala magna","Equus zebra, Anoplocephala magna"
"2162","Equus zebra","Anoplocephala perfoliata","Equus zebra, Anoplocephala perfoliata"
"2163","Equus zebra","Babesia equi","Equus zebra, Babesia equi"
"2164","Equus zebra","Bacillus anthracis","Equus zebra, Bacillus anthracis"
"2165","Equus zebra","Crossocephalus viviparus","Equus zebra, Crossocephalus viviparus"
"2166","Equus zebra","Cyathostomum alveatum","Equus zebra, Cyathostomum alveatum"
"2167","Equus zebra","Cyathostomum catinatum","Equus zebra, Cyathostomum catinatum"
"2168","Equus zebra","Cyathostomum labratum","Equus zebra, Cyathostomum labratum"
"2169","Equus zebra","Cyathostomum montgomeryi","Equus zebra, Cyathostomum montgomeryi"
"2170","Equus zebra","Cyathostomum tetracanthum","Equus zebra, Cyathostomum tetracanthum"
"2171","Equus zebra","Cylicocyclus adersi","Equus zebra, Cylicocyclus adersi"
"2172","Equus zebra","Cylicocyclus auriculatus","Equus zebra, Cylicocyclus auriculatus"
"2173","Equus zebra","Cylicocyclus gyalocephaloides","Equus zebra, Cylicocyclus gyalocephaloides"
"2174","Equus zebra","Cylicocyclus nassatus","Equus zebra, Cylicocyclus nassatus"
"2175","Equus zebra","Cylicocyclus triramosus","Equus zebra, Cylicocyclus triramosus"
"2176","Equus zebra","Cylicodontophorus reineckei","Equus zebra, Cylicodontophorus reineckei"
"2177","Equus zebra","Cylicostephanus bidentatus","Equus zebra, Cylicostephanus bidentatus"
"2178","Equus zebra","Cylicostephanus calicatus","Equus zebra, Cylicostephanus calicatus"
"2179","Equus zebra","Cylicostephanus longiconus","Equus zebra, Cylicostephanus longiconus"
"2180","Equus zebra","Cylicostephanus minutus","Equus zebra, Cylicostephanus minutus"
"2181","Equus zebra","Cylindropharynx intermedia","Equus zebra, Cylindropharynx intermedia"
