"","HostName","ParName","HostParPair"
"65","Aepyceros melampus","Oesophagostomum columbianum","Aepyceros melampus, Oesophagostomum columbianum"
"66","Aepyceros melampus","Orbivirus Bluetongue virus","Aepyceros melampus, Orbivirus Bluetongue virus"
"67","Aepyceros melampus","Pestivirus Bovine viral diarrhea virus 1","Aepyceros melampus, Pestivirus Bovine viral diarrhea virus 1"
"68","Aepyceros melampus","Phlebovirus Rift Valley phlebovirus","Aepyceros melampus, Phlebovirus Rift Valley phlebovirus"
"69","Aepyceros melampus","Pneumostrongylus calcaratus","Aepyceros melampus, Pneumostrongylus calcaratus"
"70","Aepyceros melampus","Pneumovirus Bovine respiratory syncytial virus","Aepyceros melampus, Pneumovirus Bovine respiratory syncytial virus"
"71","Aepyceros melampus","Respirovirus Bovine parainfluenza virus 3","Aepyceros melampus, Respirovirus Bovine parainfluenza virus 3"
"72","Aepyceros melampus","Rhipicephalus appendiculatus","Aepyceros melampus, Rhipicephalus appendiculatus"
"73","Aepyceros melampus","Rhipicephalus decoloratus","Aepyceros melampus, Rhipicephalus decoloratus"
"74","Aepyceros melampus","Rhipicephalus evertsi","Aepyceros melampus, Rhipicephalus evertsi"
"75","Aepyceros melampus","Rhipicephalus kochi","Aepyceros melampus, Rhipicephalus kochi"
"76","Aepyceros melampus","Rhipicephalus lunulatus","Aepyceros melampus, Rhipicephalus lunulatus"
"77","Aepyceros melampus","Rhipicephalus muehlensi","Aepyceros melampus, Rhipicephalus muehlensi"
"78","Aepyceros melampus","Rhipicephalus pravus","Aepyceros melampus, Rhipicephalus pravus"
"79","Aepyceros melampus","Rhipicephalus simus","Aepyceros melampus, Rhipicephalus simus"
"80","Aepyceros melampus","Rhipicephalus sulcatus","Aepyceros melampus, Rhipicephalus sulcatus"
"81","Aepyceros melampus","Rhipicephalus zambeziensis","Aepyceros melampus, Rhipicephalus zambeziensis"
"82","Aepyceros melampus","Rhodococcus equi","Aepyceros melampus, Rhodococcus equi"
"83","Aepyceros melampus","Sarcocystis melampi","Aepyceros melampus, Sarcocystis melampi"
"84","Aepyceros melampus","Stilesia hepatica","Aepyceros melampus, Stilesia hepatica"
"85","Aepyceros melampus","Strongyloides papillosus","Aepyceros melampus, Strongyloides papillosus"
"86","Aepyceros melampus","Thysaniezia giardi","Aepyceros melampus, Thysaniezia giardi"
"87","Aepyceros melampus","Toxocara vitulorum","Aepyceros melampus, Toxocara vitulorum"
"88","Aepyceros melampus","Trichostrongylus angistris","Aepyceros melampus, Trichostrongylus angistris"
"89","Aepyceros melampus","Trichostrongylus axei","Aepyceros melampus, Trichostrongylus axei"
"90","Aepyceros melampus","Trichostrongylus colubriformis","Aepyceros melampus, Trichostrongylus colubriformis"
"91","Aepyceros melampus","Trichostrongylus deflexus","Aepyceros melampus, Trichostrongylus deflexus"
"92","Aepyceros melampus","Trichostrongylus falculatus","Aepyceros melampus, Trichostrongylus falculatus"
"93","Aepyceros melampus","Trichostrongylus instabilis","Aepyceros melampus, Trichostrongylus instabilis"
"94","Aepyceros melampus","Trichostrongylus thomasi","Aepyceros melampus, Trichostrongylus thomasi"
"95","Aepyceros melampus","Trichuris globulosa","Aepyceros melampus, Trichuris globulosa"
"96","Aepyceros melampus","Varicellovirus Bovine alphaherpesvirus 1","Aepyceros melampus, Varicellovirus Bovine alphaherpesvirus 1"
"97","Ailuropoda melanoleuca","Ascaridia schroederii","Ailuropoda melanoleuca, Ascaridia schroederii"
"98","Alcelaphus buselaphus","Agriostomum cursoni","Alcelaphus buselaphus, Agriostomum cursoni"
"99","Alcelaphus buselaphus","Aphthovirus Foot-and-mouth disease virus","Alcelaphus buselaphus, Aphthovirus Foot-and-mouth disease virus"
"100","Alcelaphus buselaphus","Ephemerovirus Bovine ephemeral fever virus","Alcelaphus buselaphus, Ephemerovirus Bovine ephemeral fever virus"
"101","Alcelaphus buselaphus","Haemonchus bedfordi","Alcelaphus buselaphus, Haemonchus bedfordi"
"102","Alcelaphus buselaphus","Haemonchus contortus","Alcelaphus buselaphus, Haemonchus contortus"
"103","Alcelaphus buselaphus","Impalaia nudicollis","Alcelaphus buselaphus, Impalaia nudicollis"
"104","Alcelaphus buselaphus","Impalaia tuberculata","Alcelaphus buselaphus, Impalaia tuberculata"
"105","Alcelaphus buselaphus","Morbillivirus Rinderpest virus","Alcelaphus buselaphus, Morbillivirus Rinderpest virus"
"106","Alcelaphus buselaphus","Nairovirus Crimean-Congo hemorrhagic fever nairovirus","Alcelaphus buselaphus, Nairovirus Crimean-Congo hemorrhagic fever nairovirus"
"107","Alcelaphus buselaphus","Nematodirus spathiger","Alcelaphus buselaphus, Nematodirus spathiger"
"108","Alcelaphus buselaphus","Oesophagostomum columbianum","Alcelaphus buselaphus, Oesophagostomum columbianum"
"109","Alcelaphus buselaphus","Orbivirus Bluetongue virus","Alcelaphus buselaphus, Orbivirus Bluetongue virus"
"110","Alcelaphus buselaphus","Orthobunyavirus Akabane virus","Alcelaphus buselaphus, Orthobunyavirus Akabane virus"
"111","Alcelaphus buselaphus","Protostrongylus africanus","Alcelaphus buselaphus, Protostrongylus africanus"
"112","Alcelaphus buselaphus","Rhipicephalus evertsi","Alcelaphus buselaphus, Rhipicephalus evertsi"
"113","Alcelaphus buselaphus","Rhipicephalus glabroscutatum","Alcelaphus buselaphus, Rhipicephalus glabroscutatum"
"114","Alcelaphus buselaphus","Rhipicephalus pulchellus","Alcelaphus buselaphus, Rhipicephalus pulchellus"
"115","Alcelaphus buselaphus","Simplexvirus Bovine alphaherpesvirus 2","Alcelaphus buselaphus, Simplexvirus Bovine alphaherpesvirus 2"
"116","Alcelaphus buselaphus","Teladorsagia circumcincta","Alcelaphus buselaphus, Teladorsagia circumcincta"
"117","Alcelaphus buselaphus","Trichostrongylus auriculatus","Alcelaphus buselaphus, Trichostrongylus auriculatus"
"118","Alcelaphus buselaphus","Trichostrongylus falculatus","Alcelaphus buselaphus, Trichostrongylus falculatus"
"119","Alcelaphus buselaphus","Trichuris ovis","Alcelaphus buselaphus, Trichuris ovis"
"120","Alcelaphus buselaphus","Trypanosoma brucei","Alcelaphus buselaphus, Trypanosoma brucei"
"121","Alcelaphus buselaphus","Trypanosoma vivax","Alcelaphus buselaphus, Trypanosoma vivax"
"122","Alcelaphus lichtensteinii","Haemonchus contortus","Alcelaphus lichtensteinii, Haemonchus contortus"
"123","Alcelaphus lichtensteinii","Pestivirus Bovine viral diarrhea virus 1","Alcelaphus lichtensteinii, Pestivirus Bovine viral diarrhea virus 1"
"124","Alces alces","Anaplasma phagocytophilum","Alces alces, Anaplasma phagocytophilum"
"125","Alces alces","Bacillus anthracis","Alces alces, Bacillus anthracis"
"126","Alces alces","Brucella suis","Alces alces, Brucella suis"
"127","Alces alces","Bunostomum trigonocephalum","Alces alces, Bunostomum trigonocephalum"
"128","Alces alces","Cryptosporidium parvum","Alces alces, Cryptosporidium parvum"
"129","Alces alces","Dermacentor albipictus","Alces alces, Dermacentor albipictus"
"130","Alces alces","Dictyocaulus capreolus","Alces alces, Dictyocaulus capreolus"
"131","Alces alces","Dictyocaulus eckerti","Alces alces, Dictyocaulus eckerti"
