COVARIATE / HOST GROUP,carnivores (complete),primates (reduced),ungulates (reduced)
Threat Status,significant interactions,significant interactions,significant interactions
log(Unique Citations),"(++,  ++)","`(++, ++)","(++, ++)"
log(Species Range),"(--, ++)","(NS, --)","(--, NS)"
categorical OR log(Group Size),"(--, --)","(NS, NS)","(--, --)"
log(Body Mass),"(--, ++)",++,NS
Maximum Lifespan,"(++, --)",++,--
abs(Mean Range Latitude),"(NS, ++)",NS,--
