hostName,groupSizeCar,parRich,logNumHostCitations,combIUCN,logHostSpeciesRange,logHostMass,logNumHostCitations_c,logHostSpeciesRange_c,logHostMass_c
Acinonyx_jubatus,non_group,13,2.3978952727983707,threatened,9.267316652564212,3.8437441646748516,0.6672337591789435,0.5663118982994337,2.0951417963172823
Ailuropoda_melanoleuca,non_group,1,0,threatened,3.5892524703038706,4.685828089005546,-1.7306615136194272,-5.111752283960907,2.9372257206479766
Arctictis_binturong,non_group,1,0,threatened,7.977227077903829,2.2900063107871858,-1.7306615136194272,-0.7237776763609487,0.5414039424296166
Bassariscus_astutus,non_group,3,0,not_threatened,8.272844389589652,0.12177505692592086,-1.7306615136194272,-0.42816036467512575,-1.6268273114316483
Canis_adustus,non_group,6,1.6094379124341003,not_threatened,9.266854250370002,2.3272679494392654,-0.12122360118532693,0.5658494961052245,0.5786655810816963
Canis_aureus,non_group,30,2.5649493574615367,not_threatened,10.1557831049129,2.3365226440217426,0.8342878438421095,1.4547783506481213,0.5879202756641735
Canis_latrans,non_group,83,4.2626798770413155,not_threatened,9.74678075863099,2.595724745725065,2.532018363421888,1.0457760043662123,0.8471223773674958
Canis_lupus,group,72,4.0943445622221,not_threatened,10.835719367493052,3.4714476844730964,2.363683048602673,2.134714613228274,1.7228453161155273
Canis_mesomelas,non_group,6,2.0794415416798357,not_threatened,8.740141523676447,2.1400661634962708,0.34878002806040853,0.03913676941166955,0.39146379513870166
Canis_simensis,group,4,1.3862943611198906,threatened,2.4338764786752214,2.302585092994046,-0.34436715249953664,-6.267128275589556,0.5539827246364768
Caracal_caracal,non_group,6,0,not_threatened,10.189008428784895,2.621031551358861,-1.7306615136194272,1.488003674520117,0.872429183001292
Catopuma_temminckii,non_group,2,0,not_threatened,8.142437776418637,2.4423470353692043,-1.7306615136194272,-0.5585669778461408,0.6937446670116352
Cerdocyon_thous,non_group,25,2.995732273553991,not_threatened,8.86667796794355,1.6563214983329508,1.2650707599345636,0.1656732136787724,-0.09228087002461827
Chrotogale_owstoni,non_group,1,0,threatened,3.327909585892323,1.1786549963416462,-1.7306615136194272,-5.373095168372455,-0.5699473720159229
Chrysocyon_brachyurus,non_group,20,1.0986122886681098,not_threatened,8.52492343593808,3.146296529845829,-0.6320492249513174,-0.17608131832669827,1.3976941614882599
Civettictis_civetta,non_group,1,0,not_threatened,9.561537872071323,2.4849066497880004,-1.7306615136194272,0.8605331178065452,0.7363042814304313
Conepatus_chinga,non_group,2,1.3862943611198906,not_threatened,8.085580700552534,0.6510222542592742,-0.34436715249953664,-0.6154240537122444,-1.097580114098295
Conepatus_leuconotus,non_group,8,0,not_threatened,7.827862319478111,1.252762968495368,-1.7306615136194272,-0.8731424347866668,-0.49583939986220105
Crocuta_crocuta,group,12,2.5649493574615367,not_threatened,9.601716697641246,4.143133139088686,0.8342878438421095,0.9007119433764679,2.3945307707311168
Cuon_alpinus,group,3,0,threatened,9.263528185628273,2.546315277916644,-1.7306615136194272,0.5625234313634948,0.7977129095590747
Cynictis_penicillata,group,11,1.0986122886681098,not_threatened,7.711382000603876,-0.17912666589743548,-0.6320492249513174,-0.9896227536609024,-1.9277290342550046
Eira_barbara,non_group,1,0,not_threatened,9.503889300720958,1.3635373739972745,-1.7306615136194272,0.8028845464561805,-0.3850649943602946
Felis_silvestris,non_group,36,3.044522437723423,not_threatened,10.376953275563036,1.7047480922384253,1.3138609241039958,1.6759485212982579,-0.04385427611914383
