hostName,logNumHostCitations,combIUCN,groupSizeCar,bacteriaRich,virusRich,protozoaRich,fungusRich,prionRich,helminthRich,arthropodRich,logHostSpeciesRange,logHostMass,parRich_micro,parRich_alltypes,logNumHostCitations_c,logHostSpeciesRange_c,logHostMass_c
Mustela_frenata,1.0986122886681098,not_threatened,non_group,0,0,0,0,0,3,2,9.416615976005323,-1.9173226922034008,0,5,-0.6320492249513174,0.715611221740545,-3.66592506056097
Mustela_lutreola,1.3862943611198906,threatened,non_group,0,5,0,0,0,11,0,8.18002811483684,-0.8209805520698302,5,16,-0.34436715249953664,-0.5209766394279374,-2.569582920427399
Mustela_nivalis,1.9459101490553132,not_threatened,non_group,0,1,0,3,0,20,0,10.685013079523781,-1.984131361875511,4,24,0.21524863543588602,1.984008325259003,-3.73273373023308
Mustela_putorius,2.9444389791664403,not_threatened,non_group,3,4,2,1,0,34,2,8.931359137214724,-0.08839415076259535,10,46,1.213777465547013,0.2303543829499457,-1.8369965191201645
Mustela_sibirica,0,not_threatened,non_group,0,0,0,0,0,1,0,9.930220326483754,-0.9038682118755978,0,1,-1.7306615136194272,1.2292155722189761,-2.652470580233167
Nandinia_binotata,0.6931471805599453,not_threatened,non_group,0,0,0,0,0,1,1,8.695687266070017,0.6931471805599453,0,2,-1.037514333059482,-0.0053174881947608554,-1.055455187797624
Nasua_narica,0,not_threatened,group,1,0,0,0,0,0,1,7.753250086274194,1.3937663759585917,1,2,-1.7306615136194272,-0.9477546679905835,-0.35483599239897745
Nasua_nasua,1.791759469228055,not_threatened,group,0,0,3,0,0,1,6,9.277530686499706,1.3333681553104855,3,10,0.06109795560862774,0.5765259322349277,-0.41523421304708363
Nyctereutes_procyonoides,3.332204510175204,not_threatened,non_group,1,4,1,0,0,51,2,8.810526614859532,1.3962446919730587,6,59,1.6015429965557766,0.10952186059475366,-0.35235767638451043
Otocyon_megalotis,1.0986122886681098,not_threatened,non_group,0,1,0,0,0,1,0,8.517557724965808,1.423108334242607,1,2,-0.6320492249513174,-0.1834470292989696,-0.32549403411496214
Paguma_larvata,1.3862943611198906,not_threatened,non_group,0,1,0,0,0,0,1,8.598352075932572,1.4586150226995167,1,2,-0.34436715249953664,-0.10265267833220548,-0.2899873456580524
Panthera_leo,3.4657359027997265,threatened,group,10,6,5,0,0,10,1,9.32702814138074,5.084499569891765,21,32,1.7350743891802993,0.6260233871159624,3.3358972015341957
Panthera_onca,1.6094379124341003,not_threatened,non_group,0,1,2,0,0,0,11,9.259209104487613,4.605170185988092,3,14,-0.12122360118532693,0.5582043502228355,2.8565678176305225
Panthera_pardus,2.1972245773362196,threatened,non_group,0,2,1,0,0,4,1,10.287000158021371,4.007327730672141,3,8,0.46656306371679235,1.585995403756593,2.2587253623145713
Prionailurus_bengalensis,0,not_threatened,non_group,0,2,0,0,0,0,0,9.230341901058718,1.1939224684724346,2,2,-1.7306615136194272,0.5293371467939405,-0.5546798998851346
Procyon_lotor,4.812184355372417,not_threatened,non_group,20,10,10,1,0,101,18,9.36762151820506,1.8794650496471605,41,160,3.0815228417529896,0.6666167639402829,0.13086268128959144
Puma_concolor,3.7376696182833684,not_threatened,non_group,5,11,2,3,0,25,18,10.014620033307622,3.9435216724875173,21,64,2.0070081046639414,1.3136152790428444,2.1949193041299484
Speothos_venaticus,0,not_threatened,group,0,0,0,0,0,0,2,9.180289946907937,1.791759469228055,0,2,-1.7306615136194272,0.47928519264315916,0.043157100870485854
Suricata_suricatta,1.0986122886681098,not_threatened,group,2,0,0,0,0,0,0,7.45051435899391,-0.3208942066578945,2,2,-0.6320492249513174,-1.2504903952708677,-2.0694965750154637
Taxidea_taxus,2.0794415416798357,not_threatened,non_group,2,1,1,0,0,1,4,9.089366714194169,1.9611646340887827,4,9,0.34878002806040853,0.3883619599293908,0.21256226573121362
Urocyon_cinereoargenteus,3.295836866004329,not_threatened,non_group,11,4,3,0,0,23,11,9.106143734305084,1.3438303943006302,18,52,1.565175352384902,0.4051389800403058,-0.4047719740569389
Urocyon_littoralis,1.9459101490553132,not_threatened,non_group,3,7,1,0,0,2,3,-0.6694306539426292,0.63974640383283,11,16,0.21524863543588602,-9.370435408207408,-1.1088559645247391
Ursus_americanus,3.6635616461296463,not_threatened,non_group,8,6,3,0,0,18,11,9.174727909250674,4.6046640579268905,17,46,1.932900132510219,0.4737231549858958,2.856061689569321
Ursus_arctos,2.6390573296152584,not_threatened,non_group,3,10,2,0,0,4,0,10.084655152110814,5.195843790777307,15,19,0.9083958159958312,1.3836503978460364,3.4472414224197374
Ursus_thibetanus,1.0986122886681098,threatened,non_group,1,0,0,0,0,2,2,8.584609754514986,4.350277936359301,1,5,-0.6320492249513174,-0.11639499974979195,2.601675568001732
Viverra_zibetha,0,not_threatened,non_group,0,0,0,0,0,0,1,8.309973184848891,2.2512917986064953,0,1,-1.7306615136194272,-0.3910315694158868,0.5026894302489262
Vulpes_corsac,0.6931471805599453,not_threatened,group,0,0,0,0,0,2,0,8.76067193407157,0.8754687373538999,0,2,-1.037514333059482,0.0596671798067927,-0.8731336310036693
Vulpes_velox,2.302585092994046,not_threatened,non_group,1,7,0,0,0,2,12,7.808795917036038,0.787320350577195,8,22,0.5719235793746187,-0.8922088372287398,-0.9612820177803741
Vulpes_vulpes,5.2832037287379885,not_threatened,non_group,12,6,9,4,0,76,35,11.051431001865817,1.671134900237015,31,142,3.552542215118561,2.350426247601039,-0.07746746812055405
