hostName,logNumHostCitations,combIUCN,groupSizePriUng,bacteriaRich,virusRich,protozoaRich,fungusRich,prionRich,helminthRich,arthropodRich,logHostSpeciesRange,logHostMass,logGroupSizePriUng,parRich_micro,parRich_alltypes,logGroupSizePriUng_c,logNumHostCitations_c,logHostSpeciesRange_c,logHostMass_c
Chiropotes_albinasus,0,threatened,22.5,0,0,1,0,0,0,0,6.493714504736165,1.0647107369924282,3.1135153092103742,1,1,0.7498973019472799,-1.0168929104205664,0.3208637492982893,-0.046025872532929446
Chiropotes_satanas,0,threatened,14.4,0,0,1,0,0,0,0,7.248452861955538,1.0986122886681098,2.667228206581955,1,1,0.30361019931886046,-1.0168929104205664,1.075602106517663,-0.012124320857247906
Chlorocebus_aethiops,2.995732273553991,not_threatened,19.1,0,4,4,0,0,4,0,9.554840725429296,1.3800247481062953,2.9496883350525844,8,12,0.5860703277894901,1.9788393631334245,3.3819899699914204,0.2692881385809376
Colobus_angolensis,0.6931471805599453,not_threatened,9.95,0,0,2,0,0,2,0,8.012946545305667,2.671538349003008,2.2975725511705014,2,4,-0.06604545609259294,-0.3237457298606211,1.8400957898677914,1.56080173947765
Colobus_guereza,2.1972245773362196,not_threatened,7.3,0,3,5,0,0,1,0,8.292627879879785,2.80323916143854,1.9878743481543455,8,9,-0.37574365910874885,1.1803316669156532,2.1197771244419092,1.6925025519131822
Colobus_polykomos,0.6931471805599453,threatened,12.05,1,0,0,0,0,2,0,6.936050176035803,2.2071309028207255,2.489064659936664,1,3,0.12544665267356958,-0.3237457298606211,0.7631994205979273,1.0963942932953679
Erythrocebus_patas,2.1972245773362196,not_threatened,24.25,1,3,2,0,0,0,0,8.846257197593053,2.0906287310704004,3.188416617383492,6,6,0.8247986101203977,1.1803316669156532,2.6734064421551773,0.9798921215450427
Eulemur_macaco,0,threatened,9.35,4,0,1,0,0,0,0,2.1290646921531597,0.6418538861723947,2.2353763433005955,5,5,-0.1282416639624988,-1.0168929104205664,-4.043786063284715,-0.468882723352963
Euoticus_elegantulus,0,not_threatened,1,0,1,0,0,0,0,0,6.804402745977104,-1.2039728043259361,0,1,1,-2.3636180072630943,-1.0168929104205664,0.6315519905392284,-2.314709413851294
Galago_senegalensis,0,not_threatened,3.5,0,1,0,0,0,0,0,9.090147848333652,-1.4797263059124433,1.252762968495368,1,1,-1.1108550387677263,-1.0168929104205664,2.917297092895777,-2.5904629154378007
Gorilla_gorilla,2.833213344056216,threatened,8,3,4,15,0,0,7,1,6.598049795117558,4.795377237056036,2.0794415416798357,22,30,-0.2841764655832586,1.8163204336356498,0.42519903967968276,3.684640627530679
Hylobates_lar,0,threatened,3.2,0,0,1,0,0,1,0,6.053622111015139,1.587601217824926,1.1631508098056809,1,2,-1.2004671974574135,-1.0168929104205664,-0.11922864442273617,0.4768646082995682
Lagothrix_lagotricha,1.3862943611198906,threatened,33,0,0,2,0,0,0,0,8.095778868074024,1.915288925501202,3.4965075614664802,2,2,1.1328895542033859,0.3694014506993242,1.922928112636149,0.8045523159758443
Lemur_catta,0.6931471805599453,threatened,15.725,3,0,0,0,0,1,3,4.123563500891321,1.0647107369924282,2.7552518025865043,3,7,0.3916337953234099,-0.3237457298606211,-2.049287254546554,-0.046025872532929446
Leontopithecus_chrysomelas,0.6931471805599453,threatened,6.7,0,1,1,0,0,0,0,3.524063771449647,-0.35667494393873245,1.9021075263969205,2,2,-0.46151048086617386,-0.3237457298606211,-2.648786983988228,-1.4674115534640901
Leontopithecus_chrysopygus,0,threatened,3.6,0,0,1,0,0,0,0,3.9121230004284793,-0.35667494393873245,1.2809338454620642,1,1,-1.08268416180103,-1.0168929104205664,-2.260727755009396,-1.4674115534640901
Leontopithecus_rosalia,1.3862943611198906,threatened,4.5,0,0,1,0,0,0,0,3.130000894359025,-0.6245543890943336,1.5040773967762742,1,1,-0.8595406104868202,0.3694014506993242,-3.0428498610788504,-1.7352909986196914
Lophocebus_albigena,1.0986122886681098,not_threatened,16.6,1,2,0,0,0,0,0,7.882973947056572,1.9437363595144608,2.8094026953624978,3,3,0.4457846880994034,0.08171937824754338,1.7101231916186963,0.8329997499891031
Macaca_cyclopis,1.0986122886681098,not_threatened,20.2,0,0,2,0,0,1,0,2.5506163598160345,1.791759469228055,3.005682604407159,2,3,0.6420645971440648,0.08171937824754338,-3.622234395621841,0.6810228597026973
Macaca_fascicularis,2.833213344056216,not_threatened,25.3,0,4,6,1,0,5,0,7.695115219219337,1.3841671001037166,3.2308043957334744,11,16,0.8671863884703801,1.8163204336356498,1.522264463781462,0.2734304905783589
Macaca_fuscata,2.70805020110221,not_threatened,40.65,1,1,4,1,0,7,1,5.178328149061201,2.341805806147327,3.7049988359938197,7,15,1.3413808287307254,1.6911572906816437,-0.9945226063766741,1.2310691966219693
