hostName,groupSizePriUng,parRich,logNumHostCitations,combIUCN,logHostSpeciesRange,logHostMass,logGroupSizePriUng,logGroupSizePriUng_c,logNumHostCitations_c,logHostSpeciesRange_c,logHostMass_c
Addax_nasomaculatus,36.96,1,0,threatened,7.063654999773668,4.248499527754461,3.6098362467734835,1.118533711493022,-1.85326347953688,-0.8124158107254651,-0.13625414892993692
Aepyceros_melampus,15.25,70,3.4965075614664802,not_threatened,8.275597695223528,3.9608150743576687,2.7245795030534206,0.23327696777295914,1.6432440819296001,0.3995268847243949,-0.42393860232672953
Alcelaphus_buselaphus,20,14,1.9459101490553132,not_threatened,8.627014841400433,5.141672328394011,2.995732273553991,0.5044297382735294,0.09264666951843314,0.7509440309012998,0.7569186517096131
Alces_alces,1,47,3.8066624897703196,not_threatened,10.013022443353938,5.87773017952305,0,-2.4913025352804614,1.9533990102334395,2.136951632854805,1.4929765028386521
Antidorcas_marsupialis,3000,40,2.1972245773362196,not_threatened,6.972423479211011,3.449987545831587,8.006367567650246,5.515065032369785,0.3439610977993395,-0.9036473312881217,-0.934766130852811
Antilocapra_americana,506,14,2.302585092994046,not_threatened,7.605763624908789,3.830441948435151,6.226536669287466,3.7352341340070043,0.4493216134571658,-0.27030718559034383,-0.5543117282492473
Antilope_cervicapra,28.75,10,1.3862943611198906,not_threatened,7.129815844078414,3.624340932976365,3.3586377672433594,0.867335231962898,-0.4669691184169895,-0.746254966420719,-0.760412743708033
Bison_bison,515,35,2.995732273553991,not_threatened,2.340651293800502,6.361743313033251,6.244166900663736,3.752864365383275,1.1424687940171108,-5.5354195166986315,1.9769896363488524
Blastocerus_dichotomus,3,8,1.3862943611198906,threatened,7.603169388116789,4.462063957717536,1.0986122886681098,-1.3926902466123516,-0.4669691184169895,-0.27290142238234427,0.07731028103313786
Cephalophus_dorsalis,1,4,0,not_threatened,7.963635068722568,2.995732273553991,0,-2.4913025352804614,-1.85326347953688,0.08756425822343505,-1.3890214031304073
