hostName,parRichCloseOnly,parRichTransKnown,groupSizePriUng,logNumHostCitations,combIUCN,logHostSpeciesRange,logHostMass,logGroupSizePriUng,logGroupSizePriUng_c,logNumHostCitations_c,logHostSpeciesRange_c,logHostMass_c
Addax_nasomaculatus,0,1,36.96,0,threatened,7.063654999773668,4.248499527754461,3.6098362467734835,1.0885644555810137,-1.884151204195828,-0.8005241538421162,-0.16658434912260578
Aepyceros_melampus,7,63,15.25,3.4965075614664802,not_threatened,8.275597695223528,3.9608150743576687,2.7245795030534206,0.20330771186095076,1.6123563572706523,0.4114185416077438,-0.4542688025193984
Alcelaphus_buselaphus,2,13,20,1.9459101490553132,not_threatened,8.627014841400433,5.141672328394011,2.995732273553991,0.47446048236152105,0.0617589448594853,0.7628356877846487,0.7265884515169443
Alces_alces,2,41,1,3.8066624897703196,not_threatened,10.013022443353938,5.87773017952305,0,-2.52127179119247,1.9225112855744917,2.1488432897381538,1.4626463026459833
Antidorcas_marsupialis,5,34,3000,2.1972245773362196,not_threatened,6.972423479211011,3.449987545831587,8.006367567650246,5.485095776457776,0.31307337314039163,-0.8917556744047728,-0.9650963310454799
Antilocapra_americana,4,13,506,2.302585092994046,not_threatened,7.605763624908789,3.830441948435151,6.226536669287466,3.705264878094996,0.41843388879821797,-0.2584155287069949,-0.5846419284419162
Antilope_cervicapra,5,9,28.75,1.3862943611198906,not_threatened,7.129815844078414,3.624340932976365,3.3586377672433594,0.8373659760508896,-0.49785684307593736,-0.7343633095373701,-0.7907429439007019
Bison_bison,7,31,515,2.995732273553991,not_threatened,2.340651293800502,6.361743313033251,6.244166900663736,3.7228951094712666,1.111581069358163,-5.523527859815282,1.9466594361561835
Blastocerus_dichotomus,0,8,3,1.3862943611198906,threatened,7.603169388116789,4.462063957717536,1.0986122886681098,-1.42265950252436,-0.49785684307593736,-0.26100976549899535,0.04698008084046901
Cephalophus_dorsalis,0,4,1,0,not_threatened,7.963635068722568,2.995732273553991,0,-2.52127179119247,-1.884151204195828,0.09945591510678398,-1.4193516033230762
Cephalophus_natalensis,0,28,2,1.6094379124341003,not_threatened,7.097342874068093,2.4849066497880004,0.6931471805599453,-1.8281246106325244,-0.27471329176172765,-0.7668362795476913,-1.9301772270890667
Ceratotherium_simum,4,22,3.75,1.791759469228055,not_threatened,8.066040207063427,7.989555805255285,1.3217558399823195,-1.1995159512101503,-0.09239173496777298,0.20186105344764282,3.574471928378218
Cervus_elaphus,14,106,17.5,4.795790545596741,not_threatened,9.558722263417021,4.877103901471733,2.8622008809294686,0.34092908973699876,2.9116393414009134,1.694543109801237,0.46202002459466573
Cervus_nippon,4,21,7.5,3.1354942159291497,not_threatened,7.906419415728382,3.970291913552122,2.0149030205422647,-0.5063687706502051,1.2513430117333217,0.042240262112597904,-0.4447919633249451
Connochaetes_gnou,0,10,26.75,1.6094379124341003,not_threatened,4.884323491685497,5.192951295319222,3.2865344733420154,0.7652626821495456,-0.27471329176172765,-2.979855661930287,0.7778674184421552
Connochaetes_taurinus,8,40,20,2.6390573296152584,not_threatened,8.07125415320637,5.192951295319222,2.995732273553991,0.47446048236152105,0.7549061254194305,0.20707499959058584,0.7778674184421552
Dama_dama,12,60,10.5,3.7376696182833684,not_threatened,8.033255816845958,4.029806041084529,2.3513752571634776,-0.16989653402899219,1.8535184140875405,0.16907666323017434,-0.3852778357925377
Damaliscus_lunatus,4,26,3.6,2.0794415416798357,not_threatened,8.421792247492975,4.912657091615972,1.2809338454620642,-1.2403379457304056,0.19529033748400781,0.5576130938771913,0.4975732147389049
Diceros_bicornis,4,33,1,2.3978952727983707,threatened,9.345874432921157,7.0737025898586285,0,-2.52127179119247,0.5137440686025427,1.4816952793053728,2.6586187129815615
Equus_zebra,4,32,8.5,2.6390573296152584,threatened,4.968812799242417,5.659477686132638,2.1400661634962708,-0.38120562769619903,0.7549061254194305,-2.895366354373367,1.2443938092555706
Giraffa_camelopardalis,4,23,100,2.5649493574615367,threatened,7.934367679617285,6.802388985529841,4.605170185988092,2.083898394795622,0.6807981532657088,0.07018852600150094,2.3873051086527743
Hippopotamus_amphibius,0,3,585,1.6094379124341003,threatened,7.522610593250863,7.256642980903301,6.371611847231857,3.850340056039387,-0.27471329176172765,-0.3415685603649212,2.841559104026234
Hippotragus_equinus,1,2,12,1.0986122886681098,not_threatened,8.989550673176229,5.598413440443574,2.4849066497880004,-0.03636514140446945,-0.7855389155277182,1.1253715195604448,1.1833295635665069
Hippotragus_niger,3,11,15,1.9459101490553132,not_threatened,8.055045662048032,5.4271471614631945,2.70805020110221,0.18677840990974026,0.0617589448594853,0.19086650843224806,1.0120632845861275
Kobus_ellipsiprymnus,4,20,12,2.1972245773362196,not_threatened,9.217030344126496,5.347108959287877,2.4849066497880004,-0.03636514140446945,0.31307337314039163,1.3528511905107115,0.9320250824108101
Kobus_kob,0,4,112.5,0.6931471805599453,not_threatened,8.0645726372586,4.3630998986729015,4.722953221644475,2.201681430452005,-1.1910040236358825,0.20039348364281562,-0.05198397820416556
Kobus_leche,0,3,20,1.3862943611198906,not_threatened,5.437000466312162,4.707266379539107,2.995732273553991,0.47446048236152105,-0.49785684307593736,-2.4271786873036225,0.2921825026620404
Madoqua_saltiana,0,3,1.5,0,not_threatened,7.106377423049504,1.1786549963416462,0.4054651081081644,-2.1158066830843056,-1.884151204195828,-0.7578017305662801,-3.2364288805354207
