Host family,Host genus,Host species,MSW Bionomial,MaleBW(kg),FemBW(kg),SpecRW(kg),MaleL(cm),FemL(cm),SpecL(cm),MaleBrainW(g),FemBrainW(g),SpecBrainW(g),MaleSkullL(mm),FemSkullL(mm),WeightDim,LengthDim,BrainDim,SkullDim,field20,LitterSize,Gest(days),BirthW(g),LittW(g),Wean(days),IndepAge(days), MaleSexMat(days),FemSexMat(days),IntBirthInt(months),EyesOpen(days),ParturitionHabitat,field32,CapLongev(months),WildLongev(months),Longevity(months),Diet,Activity,field38,MassSpecBMR(mL O2/min),TotBMR(mL O2/min),BodyTemp(°C),Hematocrit(%),Hb (g% or g/100 mL),RBC(x10^6/mm3) or (x10^12/L),O2Capacity(mL/100 mL),O2CombiningCapacity (mL O2/g Hb),BloodVolume(mL/kg body mass),HeartRate (beats/min),field49,MS,Groupsize,PopDens(per km2),HomeRange(km2),Migratory,Territoriality,Habitat
Viverridae,Paradoxurus,zeylonensis,Paradoxurus zeylonensis,3.30,2.30,2.8,,,48.88,18.10,17.50,17.80,,,1.43,,1.03,,,2.50,,,,,,,,,,Land,,,,,Omnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Hyaenidae,Parahyaena,brunnea,Parahyaena brunnea,42.70,43.90,43.3,,,120,104.00,110.00,107.00,,,0.97,,0.94,,,2.30,97.00,693.00,1593.90,360.00,900.00,,700.00,17.50,14.00,Land,,156.00,156.00,156.00,Omnivore,Nocturnal,,,,,40.00,13.20,7.00,,,,,,Polygamous,Solitary or Groups,0.15,208.75,,Yes,Terrestrial
Felidae,Pardofelis,marmorata,Pardofelis marmorata,,,3.25,,,51.8,,,30.87,,,,,,,,2.00,,85.00,170.00,,,,,,,Land,,,,,Carnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Phocidae,Phoca,caspica,Phoca caspica,70.50,55.00,62.75,150.00,136.40,143.2,165.00,160.00,149.65,184.48,178.12,1.28,1.09,1.03,1.03,,1.00,330.00,5000.00,5000.00,31.50,31.50,2372.50,1825.00,12.00,0.00,Fast-ice,,,600.00,600.00,Carnivore,,,,,,,,,,,,,,Monogamous?,Pairs,1.47,,Yes,No,Aquatic
Phocidae,Phoca,fasciata,Phoca fasciata,94.80,80.35,87.57,153.00,154.70,153.85,257.50,240.00,248.75,192.68,189.29,1.17,0.98,1.07,1.01,,1.00,234.00,10000.00,10000.00,28.00,28.00,1642.50,1277.75,12.00,0.00,Pack-ice,,365.26,360.00,365.26,Omnivore,,,,,,66.80,24.48,4.49,34.20,1.39,132.00,,,Polygamous,Solitary,,,Yes?,No,Aquatic
Phocidae,Phoca,groenlandica,Phoca groenlandica,135.00,129.50,132.25,176.00,169.30,172.65,297.50,252.50,276.50,213.20,199.33,1.04,1.03,1.17,1.06,,1.00,232.50,10150.00,10150.00,12.00,16.50,2463.75,1825.00,12.00,0.00,Pack-ice,,426.13,504.00,504.00,Omnivore,,,3.10,410.01,36.00,59.00,22.10,5.11,,,,116.75,,Monogamous,Groups,0.09,,Yes,No,Aquatic
Phocidae,Phoca,hispida,Phoca hispida,71.66,66.50,69.08,129.30,128.90,129.1,229.25,220.00,189.31,171.43,163.97,1.07,1.00,1.04,1.04,,1.00,225.00,4500.00,4500.00,49.00,49.00,2528.92,2190.00,12.00,0.00,Fast-ice,,523.53,552.00,552.00,Omnivore,Crepuscular,,3.09,213.54,38.25,61.80,24.45,5.24,30.58,,230.00,85.00,,Monogamous,Solitary,0.95,,No,No,Aquatic
Phocidae,Phoca,largha,Phoca largha,97.00,86.00,91.5,168.95,159.00,163.97,257.50,250.00,253.75,215.24,205.87,1.12,1.06,1.03,1.04,,1.00,248.00,8300.00,8300.00,28.00,28.00,1642.50,1460.00,12.00,0.00,Pack-ice,,426.13,420.00,426.13,Omnivore,Arrhythmic,,6.52,597.41,,54.45,18.00,4.70,,,,,,Monogamous,Pairs,,,Yes,No,Aquatic
Phocidae,Phoca,sibirica,Phoca sibirica,89.50,89.50,89.5,130.00,125.35,127.67,185.00,190.00,187.50,166.83,163.33,1.00,1.03,0.97,1.02,,1.00,270.00,3050.00,3050.00,70.00,72.50,2007.50,1642.50,12.00,0.00,Fast-ice,,,672.00,672.00,Carnivore,Nocturnal and Crepuscular,,,,,62.92,18.00,5.50,,,,,,Polygamous,Solitary,1.58,,Yes,No,Aquatic
Phocidae,Phoca,vitulina,Phoca vitulina,97.13,77.50,87.31,171.51,151.80,161.65,362.25,265.00,275.00,223.94,190.41,1.25,1.12,1.36,1.17,,1.00,247.75,10150.00,10150.00,38.50,38.50,1916.25,1277.50,12.00,0.00,Pack-ice,,426.13,480.00,480.00,Carnivore,Arrhythmic,,6.17,539.18,37.50,53.00,18.35,5.35,29.25,1.32,161.69,98.75,,Polygamous,Solitary,5.68,,No,No,Aquatic
Otariidae,Phocarctos,hookeri,Phocarctos hookeri,364.00,183.00,273.5,225.00,180.00,202.5,417.50,370.00,393.75,263.84,238.36,1.98,1.25,1.12,1.10,,1.00,,,,300.00,365.00,2190.00,,12.00,0.00,Land,,,,,Omnivore,,,,,,,,,,,,,,Polygynous,,,,No,No,Aquatic
Mustelidae,Poecilogale,albinucha,Poecilogale albinucha,0.35,0.25,0.3,,,30.5,5.10,4.50,4.80,,,1.40,,1.13,,,2.00,32.00,4.00,8.00,77.00,,990.00,335.50,8.00,32.14,Land,,62.00,,62.00,Carnivore,Nocturnal,,,,,,,,,,,,,,Solitary,,,,,Terrestrial
Viverridae,Poiana,richardsonii,Poiana richardsonii,,,0.65,,,38,,,9.02,,,,,,,,2.50,,,,,,,,,,Land,,64.00,,64.00,Omnivore,Nocturnal,,,,,,,,,,,,,,,1.00,,,,Terrestrial
Procyonidae,Potos,flavus,Potos flavus,2.20,2.00,2.1,61.25,47.30,54.27,27.00,24.00,25.50,87.10,84.20,1.10,1.29,1.12,1.03,,1.25,112.00,170.50,213.12,120.00,160.00,547.50,860.62,12.00,16.95,Land,,283.00,348.00,348.00,Frugivore,Nocturnal,,5.66,11.90,36.20,47.00,15.80,7.10,,,,77.45,,,Solitary,41.17,0.08,,No,Terrestrial
Felidae,Prionailurus,bengalensis,Prionailurus bengalensis,3.30,2.25,2.77,,,68.52,30.10,28.50,29.30,,,1.46,,1.05,,,2.50,67.30,83.00,207.50,25.00,,912.50,750.00,5.44,9.97,Land,,150.00,162.00,162.00,Carnivore,Nocturnal,,,,,39.00,13.70,7.90,,,,,,,Pairs,,,,,Terrestrial
Felidae,Prionailurus,planiceps,Prionailurus planiceps,,,1.85,,,47.63,,,21.97,,,,,,,,,,,,,,,,,,Land,,,,,Carnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Felidae,Prionailurus,rubiginosus,Prionailurus rubiginosus,1.61,1.25,1.43,,,40.72,19.00,19.00,19.00,,,1.28,,1.00,,,2.50,,,,,,,,,,Land,,,,,Carnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Felidae,Prionailurus,viverrinus,Prionailurus viverrinus,11.30,6.30,8.8,,,78,47.50,45.50,46.50,,,1.79,,1.04,,,2.50,68.50,170.00,425.00,180.00,,,,,16.00,Land,,120.00,,120.00,Carnivore,Arrhythmic,,,,,,,,,,,,,,Solitary,,,,,Terrestrial
Viverridae,Prionodon,linsang,Prionodon linsang,0.62,0.72,0.67,,,40.03,9.00,8.00,8.50,,,0.86,,1.12,,,2.50,,40.00,100.00,,,,,6.00,,Land,,128.00,,128.00,Omnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Viverridae,Prionodon,pardicolor,Prionodon pardicolor,,,2.55,,,35.42,,,9.02,,,,,,,,2.00,,,,,,,,6.00,,Land,,,,,Omnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Procyonidae,Procyon,cancrivorus,Procyon cancrivorus,7.63,6.27,6.95,,,60.18,,,61.55,,,1.21,,,,,2.75,66.50,70.00,192.50,112.00,365.00,,547.50,,21.00,Land,,,168.00,168.00,Omnivore,Nocturnal,,6.66,46.33,,,,,,,,,,,,,,,,Terrestrial
Procyonidae,Procyon,gloveralleni,Procyon gloveralleni,,,0,,,0,,,36.59,,,,,,,,,,,,,,,,,,Land,,,,,,,,,,,,,,,,,,,,,,,,,Terrestrial
Procyonidae,Procyon,insularis,Procyon insularis,,,0,,,57.82,,,39.64,,,,,,,,,,,,,,,,,,Land,,,,,,,,,,,,,,,,,,,,,,,,,Terrestrial
Procyonidae,Procyon,lotor,Procyon lotor,6.42,6.32,6.37,48.95,49.00,48.97,41.00,39.00,40.00,110.05,102.65,1.01,0.99,1.05,1.07,,3.80,64.70,105.90,402.42,119.00,317.50,365.00,540.00,12.00,20.91,Land,,247.00,174.00,247.00,Omnivore,Nocturnal and Crepuscular,,5.25,33.46,38.50,39.50,11.47,10.00,,,,,,Polygynous,Solitary,4.16,10.93,,Yes,Terrestrial
Procyonidae,Procyon,maynardi,Procyon maynardi,,,0,,,47.34,,,36.23,,,,,,,,,,,,,,,,,,Land,,,,,,,,,,,,,,,,,,,,,,,,,Terrestrial
Procyonidae,Procyon,minor,Procyon minor,,,0,,,0,,,38.86,,,,,,,,,,,,,,,,,,Land,,,,,,,,,,,,,,,,,,,,,,,,,Terrestrial
Procyonidae,Procyon,pygmaeus,Procyon pygmaeus,,,3.5,,,42.83,,,32.13,,,,,,,,,,,,,,,,,,Land,,,,,,,,,,,,,,,,,,,,,,,,,Terrestrial
Felidae,Profelis,aurata,Profelis aurata,,,11.94,,,80,,,57.97,,,,,,,,2.25,78.00,211.25,475.31,120.00,,600.00,660.00,,,Land,,,,,Carnivore,Arrhythmic,,,,,,,,,,,,,,Solitary,,,,,Terrestrial
Hyaenidae,Proteles,cristatus,Proteles cristatus,8.32,8.36,8.34,70.00,70.00,70,34.10,36.50,35.30,,,0.99,1.00,0.93,,,2.80,90.00,275.00,770.00,120.00,365.00,,547.50,,,Land,,300.00,180.00,300.00,Insectivore,Nocturnal,,4.23,35.30,37.00,,,,,,,,,Polygamous,Solitary or Pairs,1.00,2.00,,Yes,Terrestrial
Canidae,Pseudalopex,culpaeus,Pseudalopex culpaeus,9.71,7.51,8.61,73.80,70.70,72.25,52.00,51.00,51.50,,,1.29,1.04,1.01,,,5.00,57.50,168.00,840.00,48.50,,365.00,365.00,12.00,,Land,,,,,Carnivore,Nocturnal,,,,,,,,,,,,,Monogamous,Solitary,1.01,8.75,,,Terrestrial
Canidae,Pseudalopex,griseus,Pseudalopex griseus,,,6.33,,,51.8,,,37.71,,,,,,,,,,,,,,,,,,Land,,,,,Omnivore,Arrhythmic,,,,,,,,,,,,,,,,,,,Terrestrial
Canidae,Pseudalopex,gymnocercus,Pseudalopex gymnocercus,4.60,4.20,4.4,,,62.1,40.00,40.00,40.00,,,1.09,,1.00,,,4.00,58.00,,,,,,,12.00,,Land,,164.00,,164.00,Omnivore,Nocturnal,,,,,,,,,,,,,,Solitary,,,,,Terrestrial
Canidae,Pseudalopex,sechurae,Pseudalopex sechurae,,,4.48,,,56.05,,,30.87,,,,,,,,,,,,,,,,,,Land,,,,,Omnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Canidae,Pseudalopex,vetulus,Pseudalopex vetulus,,,3.35,,,60.18,,,,,,,,,,,3.00,,,,,,,,12.00,,Land,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,Terrestrial
Mustelidae,Pteronura,brasiliensis,Pteronura brasiliensis,28.00,24.00,26,,,114.13,,,85.62,,,1.16,,,,,2.25,67.50,204.25,459.56,120.00,,,,12.00,28.00,Land,,154.00,,154.00,Carnivore,Diurnal,,,,,,,,,,,,,,Groups,,113.09,,Yes,Semi-Aquatic
Felidae,Puma,concolor,Puma concolor,64.00,39.60,51.8,151.62,128.47,140.05,132.00,119.00,125.50,193.20,162.00,1.61,1.18,1.10,1.19,,2.50,90.00,400.00,1000.00,75.00,420.00,885.00,913.00,19.00,8.00,Land,,240.00,240.00,240.00,Carnivore,Arrhythmic,,4.27,221.67,,41.50,15.40,10.25,,,,60.00,,Polygynous,Solitary,0.02,173.12,,Yes,Terrestrial
Herpestidae,Rhynchogale,melleri,Rhynchogale melleri,2.31,1.92,2.11,,,46.09,,,16.94,,,1.20,,,,,2.00,,,,,,,,,,Land,,,,,Omnivore,Nocturnal,,,,,,,,,,,,,,Solitary,,,,,Terrestrial
Herpestidae,Salanoia,concolor,Salanoia concolor,,,0.77,,,32,,,11.02,,,,,,,,,,,,,,,,,,Land,,57.00,,57.00,Insectivore,Diurnal,,,,,,,,,,,,,,Solitary or Pairs,,,,,Terrestrial
Canidae,Speothos,venaticus,Speothos venaticus,5.33,8.00,6.66,,,66.38,39.50,41.50,40.50,,,0.66,,0.95,,,3.50,65.00,157.50,551.25,169.50,,365.00,365.00,8.11,14.00,Land,,124.00,,124.00,Carnivore,Diurnal,,,,,48.00,13.80,5.63,,,,,,,Groups,,,,,Terrestrial
Mustelidae,Spilogale,putorius,Spilogale putorius,0.67,0.43,0.55,31.77,28.30,30.03,5.00,5.00,5.00,58.85,55.61,1.55,1.12,1.00,1.05,,4.85,30.00,15.90,77.11,56.00,,150.00,217.50,8.00,30.07,Land,,120.00,,120.00,Omnivore,Nocturnal,,7.91,4.35,36.50,,,,,,,,,,,5.00,0.64,,Yes,Terrestrial
Mustelidae,Spilogale,pygmaea,Spilogale pygmaea,,0.36,0.36,,,0,,,,,,0.00,,,,,4.00,48.00,6.90,27.60,,,,,,28.00,Land,,,,,Omnivore,Nocturnal and Crepuscular,,,,,,,,,,,,,,,,,,,Terrestrial
Herpestidae,Suricata,suricatta,Suricata suricatta,0.74,0.72,0.73,,,28.65,10.60,10.00,10.92,,,1.02,,1.06,,,3.00,77.00,30.50,91.50,56.00,,365.00,365.00,12.00,12.94,Land,,150.00,150.00,150.00,Insectivore,Diurnal,,6.16,4.50,36.80,,,,,,,109.60,,Monogamous,Groups,,15.50,,Yes,Terrestrial
Mustelidae,Taxidea,taxus,Taxidea taxus,8.59,5.62,4.05,,,56,49.50,48.50,49.00,,,1.52,,1.02,,,3.12,42.00,93.20,291.25,42.00,365.00,448.12,317.50,12.00,35.00,Land,,312.00,168.00,312.00,Carnivore,Nocturnal,,5.33,21.60,37.80,43.10,15.60,,,,,101.50,,,Solitary,2.44,4.10,,Yes,Terrestrial
Ursidae,Tremarctos,ornatus,Tremarctos ornatus,161.25,55.50,108.37,190.00,,167.62,,,219.20,,,2.90,,,,,2.00,225.00,320.00,640.00,,,,,,,Land,,437.00,,437.00,Folivore / Frugivore,Nocturnal and Crepuscular,,,,,38.00,11.00,7.70,,,,,,,Solitary,,,,,Terrestrial
Felidae,Uncia,uncia,Uncia uncia,32.50,32.50,32.5,,,115,106.00,98.00,102.00,173.50,160.00,1.00,,1.08,1.08,,2.12,96.80,442.60,939.78,102.00,,,730.00,12.00,7.03,Land,,216.00,120.00,216.00,Carnivore,Arrhythmic,,,,,34.00,11.10,9.06,,,,,,,Solitary,0.07,50.25,,Yes,Terrestrial
Canidae,Urocyon,cinereoargenteus,Urocyon cinereoargenteus,4.10,3.30,3.7,,,60.35,42.10,39.50,40.80,,,1.24,,1.06,,,3.80,63.00,107.50,408.50,60.00,210.00,365.00,300.00,12.00,9.75,Land,,180.00,180.00,180.00,Omnivore,Nocturnal and Crepuscular,,,,,36.50,10.90,5.73,,,,,,Monogamous,Pairs,2.39,2.08,,,Terrestrial
Canidae,Urocyon,littoralis,Urocyon littoralis,1.95,1.89,1.92,48.45,46.07,47.26,,,27.66,99.40,96.41,1.02,1.05,,1.03,,2.17,51.50,100.00,217.00,,150.00,,313.50,12.00,10.50,Land,,,96.00,96.00,Omnivore,Nocturnal and Crepuscular,,,,,,,,,,,,,,Pairs,3.94,15.56,,,Terrestrial
Ursidae,Ursus,americanus,Ursus americanus,124.00,97.00,110.5,148.50,128.50,138.5,290.00,228.00,259.00,,,1.27,1.15,1.27,,,2.50,91.00,285.00,712.50,168.00,483.00,1642.50,1452.54,27.00,38.86,Land,,312.00,360.00,360.00,Folivore,Diurnal,,3.67,406.08,38.17,50.15,16.23,7.96,,,,75.00,,Polygamous,Solitary,0.44,42.00,,No,Terrestrial
Ursidae,Ursus,arctos,Ursus arctos,213.00,111.85,162.42,158.15,139.55,148.85,337.60,339.00,338.30,364.71,319.71,1.90,1.13,0.99,1.14,,2.00,63.00,482.14,964.28,730.00,912.50,1432.62,1544.47,30.00,31.82,Land,,600.00,306.00,600.00,Omnivore,Arrhythmic,,2.13,346.51,37.40,49.00,17.10,7.04,,,,45.00,,Polygamous,Solitary,0.02,305.00,,No,Terrestrial
Ursidae,Ursus,maritimus,Ursus maritimus,410.00,320.00,365,219.85,179.85,199.85,554.00,365.00,459.50,384.05,339.95,1.28,1.22,1.51,1.12,,1.90,62.00,641.60,1219.04,776.00,821.00,2190.00,1604.47,24.68,34.12,Land,,458.00,330.00,458.00,Carnivore,Diurnal,,2.02,739.10,37.20,54.50,19.70,8.33,,,,52.25,,Polygamous,Solitary,0.01,19992.89,,,Terrestrial
Ursidae,Ursus,thibetanus,Ursus thibetanus,130.10,77.50,103.8,,,151.02,327.00,298.00,312.50,,,1.67,,1.09,,,2.00,210.00,357.50,715.00,119.00,912.50,1095.00,1186.00,12.00,7.03,Land,,422.00,300.00,422.00,Folivore / Frugivore,Arrhythmic,,,,,43.50,14.95,6.21,,,,,,,Solitary,,0.92,,Yes,Terrestrial
Viverridae,Viverra,civettina,Viverra civettina,,,12.06,,,84.55,,,36.96,,,,,,,,,,,,,,,,,,Land,,,,,Omnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Viverridae,Viverra,megaspila,Viverra megaspila,,,8.87,,,84.55,,,36.59,,,,,,,,,,,,,,,,,,Land,,,,,Omnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Viverridae,Viverra,tangalunga,Viverra tangalunga,,,4.71,,,65.77,,,24.04,,,,,,,,2.00,,,,,,,,,,Land,,144.00,,144.00,Omnivore,Nocturnal,,,,,,,,,,,,,,Solitary,,,,,Terrestrial
Viverridae,Viverra,zibetha,Viverra zibetha,9.60,9.00,9.3,,,81.91,37.50,36.50,37.00,,,1.06,,1.02,,,2.80,77.00,,,,,,,6.00,9.97,Land,,240.00,,240.00,Omnivore,Nocturnal,,,,,,,,,,,,,,Solitary,,,,,Terrestrial
Viverridae,Viverricula,indica,Viverricula indica,2.83,2.49,2.66,,,54,16.60,17.00,16.80,,,1.13,,0.97,,,3.80,,,,,,,,,,Land,,102.00,,102.00,Omnivore,Nocturnal,,,,,,,,,,,,,,Solitary or Pairs,,,,,Terrestrial
Mustelidae,Vormela,peregusna,Vormela peregusna,0.67,0.53,0.6,31.00,31.50,33.02,5.60,4.00,4.80,,,1.26,0.98,1.40,,,6.00,61.50,,,,,,,12.00,,Land,,107.00,,107.00,Carnivore,Crepuscular,,,,,,,,,,,,,,Solitary,,,,,Terrestrial
Canidae,Vulpes,bengalensis,Vulpes bengalensis,3.00,1.80,2.4,,,52.32,27.10,24.50,25.80,,,1.66,,1.10,,,3.50,52.00,58.50,204.75,,,,,,,Land,,,120.00,120.00,Omnivore,Nocturnal and Crepuscular,,,,,,,,,,,,,,Pairs?,,,,,Terrestrial
Canidae,Vulpes,cana,Vulpes cana,1.03,0.94,0.98,42.39,43.05,42.72,,,,,,1.09,0.98,,,,2.00,55.00,29.00,58.00,45.00,150.00,,330.00,,,Land,,,72.00,72.00,Omnivore,Nocturnal,,,,,,,,,,,,,Monogamous,Pairs,1.25,1.42,,,Terrestrial
Canidae,Vulpes,chama,Vulpes chama,2.87,2.90,2.88,,,53.37,34.00,33.00,33.50,,,0.98,,1.03,,,4.00,51.50,,,,,,270.00,,,Land,,,,,Omnivore,Nocturnal,,,,,,,,,,,,,Monogamous,Solitary to Pairs,,,,,Terrestrial
Canidae,Vulpes,corsac,Vulpes corsac,,,2.85,,,58,,,29.96,,,,,,,,5.62,52.87,63.75,358.27,,,,888.75,12.00,,Land,,,,,Omnivore,Nocturnal,,,,,,,,,,,,,,Pairs to Groups,,,Yes,No,Terrestrial
Canidae,Vulpes,ferrilata,Vulpes ferrilata,7.00,,5,,,60.18,,,43.81,,,,,,,,3.50,52.00,90.00,315.00,56.00,,,365.00,,,Land,,,,,Carnivore,,,,,,,,,,,,,,,,,,,,Terrestrial
Canidae,Vulpes,pallida,Vulpes pallida,,,2.5,,,43.05,,,25.02,,,,,,,,4.00,,,,,,,,,,Land,,,,,Omnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Canidae,Vulpes,rueppelli,Vulpes rueppelli,,,2.37,,,46,,,24.28,,,,,,,,2.25,,,,,,,,,,Land,,,,,Carnivore,Nocturnal,,,,,,,,,,,,,Monogamous,Groups,,49.75,,,Terrestrial
Canidae,Vulpes,velox,Vulpes velox,2.20,1.97,2.08,51.52,49.53,50.53,,,32.13,112.68,111.84,1.11,1.03,,1.00,,4.50,51.50,39.95,179.77,49.00,150.00,313.50,660.00,12.00,12.50,Land,,240.00,144.00,240.00,Carnivore,Nocturnal,,8.89,18.57,39.00,46.90,14.90,8.40,,,,140.00,,Monogamous,Pairs,0.45,6.04,,No,Terrestrial
Canidae,Vulpes,vulpes,Vulpes vulpes,4.30,3.90,4.1,64.70,61.10,62.9,44.00,43.00,43.50,142.08,135.58,1.10,1.05,1.02,1.04,,4.80,54.50,105.00,504.00,56.00,225.00,304.16,300.00,12.00,14.01,Land,,180.00,103.20,180.00,Carnivore,Nocturnal,,8.75,35.87,39.31,48.10,13.63,9.01,,,,124.80,,Monogamous,Pairs,5.94,11.98,,Yes,Terrestrial
Canidae,Vulpes,zerda,Vulpes zerda,1.50,1.50,1.5,,,37.53,17.10,17.50,17.30,,,1.00,,0.97,,,2.80,54.30,34.80,97.44,66.00,,315.00,255.00,12.00,16.95,Land,,175.00,,175.00,Omnivore,Nocturnal,,6.00,9.00,37.95,42.30,14.50,,,,,88.05,,Monogamous,Groups,,,,Yes,Terrestrial
Otariidae,Zalophus,californianus,Zalophus californianus,300.00,91.00,195.5,225.00,180.00,202.5,405.00,361.50,379.12,287.24,232.96,3.29,1.25,1.12,1.23,,1.00,240.00,6000.00,6000.00,365.00,,3285.00,2099.00,12.00,0.00,Land,,360.00,336.00,360.00,Omnivore,Arrhythmic,,,,37.50,45.00,15.30,4.40,19.55,1.35,126.85,95.00,,Polygynous,,0.50,,Yes,No,Aquatic
