Host family,Host genus,Host species,MSW Bionomial,MaleBW(kg),FemBW(kg),SpecRW(kg),MaleL(cm),FemL(cm),SpecL(cm),MaleBrainW(g),FemBrainW(g),SpecBrainW(g),MaleSkullL(mm),FemSkullL(mm),WeightDim,LengthDim,BrainDim,SkullDim,field20,LitterSize,Gest(days),BirthW(g),LittW(g),Wean(days),IndepAge(days), MaleSexMat(days),FemSexMat(days),IntBirthInt(months),EyesOpen(days),ParturitionHabitat,field32,CapLongev(months),WildLongev(months),Longevity(months),Diet,Activity,field38,MassSpecBMR(mL O2/min),TotBMR(mL O2/min),BodyTemp(°C),Hematocrit(%),Hb (g% or g/100 mL),RBC(x10^6/mm3) or (x10^12/L),O2Capacity(mL/100 mL),O2CombiningCapacity (mL O2/g Hb),BloodVolume(mL/kg body mass),HeartRate (beats/min),field49,MS,Groupsize,PopDens(per km2),HomeRange(km2),Migratory,Territoriality,Habitat
Mustelidae,Melogale,orientalis,Melogale orientalis,,,0,,,0,,,12.80,,,,,,,,2.00,,,,,,,,,,Land,,,,,Omnivore,Nocturnal and Crepuscular,,,,,,,,,,,,,,,,,,,Terrestrial
Mustelidae,Melogale,personata,Melogale personata,,,2,,,39.94,,,15.18,,,,,,,,2.50,,,,,,,,,,Land,,,,,Omnivore,Nocturnal and Crepuscular,,,,,,,,,,,,,,,,,,,Terrestrial
Ursidae,Melursus,ursinus,Melursus ursinus,,,100.74,,,160,,,304.90,,,,,,,,1.60,195.00,,,501.25,914.25,,1095.00,36.00,21.00,Land,,480.00,,480.00,Omnivore,Arrhythmic,,2.10,211.56,,49.00,17.50,6.31,,,,,,,Solitary,0.07,10.00,,,Terrestrial
Mustelidae,Mephitis,macroura,Mephitis macroura,1.19,1.10,1.15,,,30.79,,,9.48,,,1.07,,,,,4.75,58.00,,,,,,,,,Land,,,,,Insectivore,Nocturnal and Crepuscular,,,,,,,,,,,,,,Solitary,,,,,Terrestrial
Mustelidae,Mephitis,mephitis,Mephitis mephitis,2.80,2.00,2.4,,,40.07,10.60,10.00,10.30,,,1.40,,1.06,,,4.87,63.00,33.00,160.82,46.00,84.00,332.50,308.00,12.00,21.98,Land,,155.00,66.00,155.00,Omnivore,Nocturnal,,4.43,10.64,36.45,51.40,15.10,10.00,,,,166.00,,Polygynous,Solitary,8.83,3.26,,No,Terrestrial
Phocidae,Mirounga,angustirostris,Mirounga angustirostris,2275.00,700.00,1487.5,450.00,295.00,372.5,700.00,640.00,670.00,503.97,328.03,3.25,1.52,1.09,1.53,,1.00,229.50,37500.00,37500.00,28.00,27.20,1733.75,1186.25,12.00,0.00,Land,,243.50,168.00,243.50,Omnivore,Arrhythmic,,,,34.90,57.00,24.32,3.24,29.77,1.34,185.61,59.62,,Polygynous,,,,Yes,No,Aquatic
Phocidae,Mirounga,leonina,Mirounga leonina,3510.00,503.00,2006.5,467.00,270.00,368.5,1431.25,898.75,1165.00,477.22,316.22,6.97,1.72,1.59,1.50,,1.00,225.00,41000.00,41000.00,23.00,24.00,1733.75,1171.04,12.00,0.00,Land,,264.00,276.00,276.00,Cephalopods,Arrhythmic,,,,36.30,60.60,22.85,2.84,40.00,,206.97,39.60,,Polygynous,,,,No,No,Aquatic
Phocidae,Monachus,monachus,Monachus monachus,260.00,301.00,280.5,254.75,264.60,259.67,480.00,480.00,480.00,283.10,265.34,0.86,0.96,1.00,1.06,,1.00,330.00,20000.00,20000.00,43.00,569.00,1460.00,1460.00,24.00,0.00,Land,,284.00,,284.00,Omnivore,Arrhythmic?,,,,,,,,,,,,,Polygynous / Polygamous,Solitary,,,No,No,Aquatic
Phocidae,Monachus,schauinslandi,Monachus schauinslandi,173.00,265.00,219,214.20,233.70,223.95,370.00,,370.00,238.54,234.98,0.65,0.91,,1.01,,1.00,330.00,16250.00,16250.00,38.00,38.00,1460.00,1825.00,15.36,0.00,Land,,,360.00,360.00,Omnivore,Nocturnal,,,,36.20,54.70,,,,,,,,Polygamous,Solitary,,,No,No,Aquatic
Phocidae,Monachus,tropicalis,Monachus tropicalis,,160.00,160,233.00,225.62,229.31,460.00,,460.00,269.26,268.13,0.00,1.03,,1.00,,1.00,,,,,,,,18.00,,Land,,,,,Carnivore,,,,,,,,,,,,,,,,,,,No,Aquatic
Herpestidae,Mungos,gambianus,Mungos gambianus,,,1.8,,,35.07,,,9.97,,,,,,,,,,,,,,,,,,Land,,,,,Omnivore,Diurnal,,,,,,,,,,,,,,,,,,,Terrestrial
Herpestidae,Mungos,mungo,Mungos mungo,1.29,1.23,1.26,,,36.35,11.00,10.00,10.50,,,1.04,,1.10,,,3.28,59.00,20.00,65.71,,,,323.00,12.00,9.97,Land,,144.00,,144.00,Insectivore,Diurnal,,,,,,,,,,,,,,Groups,18.00,2.14,,,Terrestrial
Herpestidae,Mungotictis,decemlineata,Mungotictis decemlineata,,,0.8,,,32.37,,,,,,,,,,,1.00,97.50,50.00,50.00,60.00,730.00,,730.00,,0.00,Land,,4.00,,,Insectivore,Diurnal,,,,,,,,,,,,,,Pairs to family clans,7.33,,,,Terrestrial
Mustelidae,Mustela,africana,Mustela africana,,,0,,,31,,,7.02,,,,,,,,,,,,,,,,,,Land,,,,,,,,,,,,,,,,,,,,,,,,,Terrestrial
Mustelidae,Mustela,altaica,Mustela altaica,0.25,0.13,0.19,25.55,23.30,24.42,4.50,4.50,4.50,,,1.92,1.09,1.00,,,5.40,40.00,,,56.00,56.00,,,12.00,,Land,,,,,Carnivore,Nocturnal and Crepuscular,,,,,,,,,,,,,,,,,,,Terrestrial
Mustelidae,Mustela,erminea,Mustela erminea,1.28,0.62,0.95,23.37,19.88,21.62,5.00,3.00,4.00,,,2.06,1.17,1.66,,,6.74,30.00,1.70,11.46,70.00,105.00,365.00,72.64,12.00,35.10,Land,,85.23,84.00,85.23,Carnivore,Arrhythmic,,28.00,26.60,39.75,,,,,,,357.00,,Polygamous,Solitary,6.25,0.21,,Yes,Terrestrial
