hostName,parRichCloseOnly,parRichTransKnown,groupSizeCar,logNumHostCitations,combIUCN,logHostSpeciesRange,logHostMass,logNumHostCitations_c,logHostSpeciesRange_c,logHostMass_c
Acinonyx_jubatus,4,12,non_group,2.3978952727983707,threatened,9.267316652564212,3.8437441646748516,0.6210827854824255,0.4820221092470476,2.1080365094118463
Arctictis_binturong,0,1,non_group,0,threatened,7.977227077903829,2.2900063107871858,-1.7768124873159452,-0.8080674654133349,0.5542986555241805
Bassariscus_astutus,1,3,non_group,0,not_threatened,8.272844389589652,0.12177505692592086,-1.7768124873159452,-0.5124501537275119,-1.6139325983370845
Canis_adustus,2,6,non_group,1.6094379124341003,not_threatened,9.266854250370002,2.3272679494392654,-0.16737457488184493,0.48155970705283835,0.5915602941762601
Canis_aureus,2,29,non_group,2.5649493574615367,not_threatened,10.1557831049129,2.3365226440217426,0.7881368701455915,1.3704885615957352,0.6008149887587373
Canis_latrans,5,83,non_group,4.2626798770413155,not_threatened,9.74678075863099,2.595724745725065,2.48586738972537,0.9614862153138262,0.8600170904620597
Canis_lupus,7,72,group,4.0943445622221,not_threatened,10.835719367493052,3.4714476844730964,2.317532074906155,2.050424824175888,1.735740029210091
Canis_mesomelas,2,6,non_group,2.0794415416798357,not_threatened,8.740141523676447,2.1400661634962708,0.30262905436389054,-0.04515301964071661,0.40435850823326547
Canis_simensis,2,4,group,1.3862943611198906,threatened,2.4338764786752214,2.302585092994046,-0.39051812619605464,-6.351418064641942,0.5668774377310406
Caracal_caracal,3,6,non_group,0,not_threatened,10.189008428784895,2.621031551358861,-1.7768124873159452,1.403713885467731,0.8853238960958558
Catopuma_temminckii,0,2,non_group,0,not_threatened,8.142437776418637,2.4423470353692043,-1.7768124873159452,-0.642856766898527,0.706639380106199
Cerdocyon_thous,2,23,non_group,2.995732273553991,not_threatened,8.86667796794355,1.6563214983329508,1.2189197862380456,0.08138342462638626,-0.07938615693005446
Chrotogale_owstoni,0,1,non_group,0,threatened,3.327909585892323,1.1786549963416462,-1.7768124873159452,-5.457384957424841,-0.5570526589213591
Chrysocyon_brachyurus,3,20,non_group,1.0986122886681098,not_threatened,8.52492343593808,3.146296529845829,-0.6782001986478354,-0.2603711073790844,1.4105888745828237
Civettictis_civetta,1,1,non_group,0,not_threatened,9.561537872071323,2.4849066497880004,-1.7768124873159452,0.776243328754159,0.749198994524995
Conepatus_chinga,0,2,non_group,1.3862943611198906,not_threatened,8.085580700552534,0.6510222542592742,-0.39051812619605464,-0.6997138427646306,-1.084685401003731
Conepatus_leuconotus,0,7,non_group,0,not_threatened,7.827862319478111,1.252762968495368,-1.7768124873159452,-0.9574322238390529,-0.48294468676763724
Crocuta_crocuta,5,12,group,2.5649493574615367,not_threatened,9.601716697641246,4.143133139088686,0.7881368701455915,0.8164221543240817,2.407425483825681
Cuon_alpinus,0,3,group,0,threatened,9.263528185628273,2.546315277916644,-1.7768124873159452,0.47823364231110865,0.8106076226536385
Cynictis_penicillata,2,11,group,1.0986122886681098,not_threatened,7.711382000603876,-0.17912666589743548,-0.6782001986478354,-1.0739125427132885,-1.9148343211604408
Eira_barbara,0,1,non_group,0,not_threatened,9.503889300720958,1.3635373739972745,-1.7768124873159452,0.7185947574037943,-0.3721702812657308
Felis_silvestris,6,36,non_group,3.044522437723423,not_threatened,10.376953275563036,1.7047480922384253,1.2677099504074778,1.5916587322458717,-0.030959563024580028
Galictis_cuja,0,3,non_group,1.0986122886681098,not_threatened,8.426155830107605,0,-0.6782001986478354,-0.3591387132095587,-1.7357076552630053
Galictis_vittata,0,1,non_group,0.6931471805599453,not_threatened,9.218154660738684,1.1631508098056809,-1.083665306756,0.4328601174215194,-0.5725568454573244
Genetta_tigrina,0,1,non_group,0,not_threatened,6.375894969247288,0.7997569156182036,-1.7768124873159452,-2.4093995740698757,-0.9359507396448017
Gulo_gulo,2,6,non_group,1.3862943611198906,not_threatened,10.106263158391952,2.8339542459911686,-0.39051812619605464,1.3209686150747881,1.0982465907281633
Herpestes_ichneumon,2,19,group,2.302585092994046,not_threatened,9.576998814534859,1.6438393391514328,0.5257726056781007,0.7917042712176947,-0.09186831611157253
Herpestes_javanicus,1,5,non_group,0,not_threatened,8.836417243942856,-0.2876820724517809,-1.7768124873159452,0.05112270062569202,-2.023389727714786
Hyaena_hyaena,0,4,group,1.0986122886681098,not_threatened,10.096350973113937,3.73062342348473,-0.6782001986478354,1.311056429796773,1.9949157682217247
Leopardus_pardalis,6,27,non_group,2.0794415416798357,not_threatened,9.682842377678737,2.47654680344352,0.30262905436389054,0.897547834361573,0.7408391481805148
Leptailurus_serval,0,2,non_group,0.6931471805599453,not_threatened,9.435577490248928,2.4849066497880004,-1.083665306756,0.6502829469317639,0.749198994524995
Lontra_canadensis,2,12,non_group,2.302585092994046,not_threatened,9.383202411614885,2.090307294990142,0.5257726056781007,0.597907868297721,0.3545996397271365
Lutra_lutra,4,44,non_group,2.9444389791664403,not_threatened,10.17287391197587,2.173057104613546,1.167626491850495,1.387579368658706,0.43734944935054054
Lycaon_pictus,2,10,group,2.6390573296152584,threatened,9.262902081584919,3.0933171370299632,0.8622448422993132,0.4776075382677547,1.357609481766958
Lynx_canadensis,3,21,non_group,1.3862943611198906,not_threatened,9.01833023207013,2.237854553422115,-0.39051812619605464,0.23303568875296676,0.5021468981591095
Lynx_lynx,6,27,non_group,2.5649493574615367,not_threatened,10.078600984773445,2.8875901149342877,0.7881368701455915,1.2933064414562807,1.1518824596712824
