hostName,logNumHostCitations,combIUCN,groupSizePriUng,bacteriaRich,virusRich,protozoaRich,fungusRich,prionRich,helminthRich,arthropodRich,logHostSpeciesRange,logHostMass,logGroupSizePriUng,parRich_micro,parRich_alltypes,logGroupSizePriUng_c,logNumHostCitations_c,logHostSpeciesRange_c,logHostMass_c
Addax_nasomaculatus,0,threatened,36.96,0,0,0,0,0,1,0,7.063654999773668,4.248499527754461,3.6098362467734835,0,1,1.118533711493022,-1.85326347953688,-0.8124158107254651,-0.13625414892993692
Aepyceros_melampus,3.4965075614664802,not_threatened,15.25,6,9,0,0,0,33,22,8.275597695223528,3.9608150743576687,2.7245795030534206,15,70,0.23327696777295914,1.6432440819296001,0.3995268847243949,-0.42393860232672953
Alcelaphus_buselaphus,1.9459101490553132,not_threatened,20,0,6,2,0,0,5,1,8.627014841400433,5.141672328394011,2.995732273553991,8,14,0.5044297382735294,0.09264666951843314,0.7509440309012998,0.7569186517096131
Alces_alces,3.8066624897703196,not_threatened,1,8,6,4,0,0,27,2,10.013022443353938,5.87773017952305,0,18,47,-2.4913025352804614,1.9533990102334395,2.136951632854805,1.4929765028386521
Antidorcas_marsupialis,2.1972245773362196,not_threatened,3000,0,1,2,0,0,20,17,6.972423479211011,3.449987545831587,8.006367567650246,3,40,5.515065032369785,0.3439610977993395,-0.9036473312881217,-0.934766130852811
Antilocapra_americana,2.302585092994046,not_threatened,506,3,9,1,0,0,1,0,7.605763624908789,3.830441948435151,6.226536669287466,13,14,3.7352341340070043,0.4493216134571658,-0.27030718559034383,-0.5543117282492473
Antilope_cervicapra,1.3862943611198906,not_threatened,28.75,1,0,0,0,0,0,9,7.129815844078414,3.624340932976365,3.3586377672433594,1,10,0.867335231962898,-0.4669691184169895,-0.746254966420719,-0.760412743708033
Bison_bison,2.995732273553991,not_threatened,515,24,6,3,0,0,1,1,2.340651293800502,6.361743313033251,6.244166900663736,33,35,3.752864365383275,1.1424687940171108,-5.5354195166986315,1.9769896363488524
Blastocerus_dichotomus,1.3862943611198906,threatened,3,2,0,1,0,0,0,5,7.603169388116789,4.462063957717536,1.0986122886681098,3,8,-1.3926902466123516,-0.4669691184169895,-0.27290142238234427,0.07731028103313786
Cephalophus_dorsalis,0,not_threatened,1,0,0,4,0,0,0,0,7.963635068722568,2.995732273553991,0,4,4,-2.4913025352804614,-1.85326347953688,0.08756425822343505,-1.3890214031304073
Cephalophus_natalensis,1.6094379124341003,not_threatened,2,0,0,0,0,0,20,8,7.097342874068093,2.4849066497880004,0.6931471805599453,0,28,-1.798155354720516,-0.2438255671027798,-0.7787279364310402,-1.8998470268963978
Ceratotherium_simum,1.791759469228055,not_threatened,3.75,1,10,2,0,0,3,7,8.066040207063427,7.989555805255285,1.3217558399823195,13,23,-1.169546695298142,-0.06150401030882513,0.1899693965642939,3.6048021285708867
Cervus_elaphus,4.795790545596741,not_threatened,17.5,26,28,10,0,1,38,18,9.558722263417021,4.877103901471733,2.8622008809294686,65,121,0.37089834564900714,2.9425270660598613,1.682651452917888,0.4923502247873346
Cervus_nippon,3.1354942159291497,not_threatened,7.5,8,2,2,0,0,13,9,7.906419415728382,3.970291913552122,2.0149030205422647,12,34,-0.47639951473819675,1.2822307363922696,0.03034860522924898,-0.41446176313227623
