COVARIATE / HOST GROUP,carnivores (reduced),primates (complete),ungulates (simple)
Threat Status,significant interactions,significant interactions,NS
log(Unique Citations),"(--, NS)","(--, NS)",NS
log(Species Range),"(NS, --)","(++, NS)",
categorical OR log(Group Size),"(NS, NS)","(++, NS)",
log(Body Mass),++,"(NS, ++)",
Maximum Lifespan,NS,"(--,NS) ",
abs(Mean Range Latitude),NS,"(++, NS)",
