COVARIATE / HOST GROUP,carnivores (complete),primates (simple),ungulates (reduced)
Threat Status,significant interactions,significant interactions,significant interactions
log(Unique Citations),"(--,++)","(NS, ++)","(++, --)"
log(Species Range),"(NS, NS)",,"(NS, --)"
categorical OR log(Group Size),"(NS, NS)",,"(++, ++)"
log(Body Mass),"(++, NS)",,NS
Maximum Lifespan,"(NS, --)",,++
abs(Mean Range Latitude),"(NS, NS)",,++
